WARNING:pySFE.func.temperature_fires:q_td = 43.6 not in range [50, 1000]
WARNING:pySFE.func.temperature_fires:q_td = 35.9 not in range [50, 1000]
WARNING:pySFE.func.temperature_fires:q_td = 49.0 not in range [50, 1000]
WARNING:pySFE.func.temperature_fires:q_td = 40.1 not in range [50, 1000]
WARNING:pySFE.func.temperature_fires:q_td = 23.5 not in range [50, 1000]
WARNING:pySFE.func.temperature_fires:q_td = 15.9 not in range [50, 1000]
WARNING:pySFE.func.temperature_fires:q_td = 41.0 not in range [50, 1000]
WARNING:pySFE.func.temperature_fires:q_td = 45.8 not in range [50, 1000]
WARNING:pySFE.func.temperature_fires:q_td = 24.7 not in range [50, 1000]
WARNING:pySFE.func.temperature_fires:q_td = 39.8 not in range [50, 1000]
WARNING:pySFE.func.temperature_fires:q_td = 41.1 not in range [50, 1000]
WARNING:pySFE.func.temperature_fires:q_td = 41.8 not in range [50, 1000]
WARNING:pySFE.func.temperature_fires:q_td = 39.9 not in range [50, 1000]
