c_Ar,c_C3H8,c_CH4,c_CO2,c_H2O,c_N2,c_O2,content_vol_Ar,content_vol_C3H8,content_vol_CH4,content_vol_CO2,content_vol_H2O,content_vol_N2,content_vol_O2,hf_furnace,hf_furnace_average,hr_burner_combustion,hr_gas_enclosure,hr_lining,hr_specimen,hr_specimen_combustion,hr_ventilation,hr_windows,length_specimen_charring,mass_Ar,mass_C3H8,mass_CH4,mass_CO2,mass_H2O,mass_N2,mass_O2,mass_co2_burner_produced,mass_co2_specimen_produced,mass_fuel_in,mass_h2o_burner_produced,mass_h2o_specimen_produced,mass_o2_burner_required,mass_o2_specimen_required,mass_specimen_in,mass_ventilation_in,mass_ventilation_ou,temperature_gas,temperature_gas_target,temperature_lining,temperature_specimen,time
521.360072,302.984955,302.984955,848.970798,1864.849945,1039.992921,918.611148,0.00928,0.0,0.0,3e-05,0.0,0.780711,0.209979,0.000484,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,298.15,298.15,298.15,298.15,0.0
520.841123,419.714602,419.714602,950.536308,1914.13169,1047.768529,948.391278,0.009169,0.0,0.0,0.017627,0.023697,0.77137,0.178137,2842.168221,918.204365,1111307.124873,-208111.78271,-424229.266875,-36555.085446,0.0,-441560.630976,-850.358866,3e-06,0.01759,0.023925,0.0,6.3e-05,0.0,1.037754,0.318821,0.071643,0.0,0.023925,0.039503,0.0,0.086821,0.0,0.0,1.398153,1.768634,539.294651,539.294651,298.15,298.150002,30.0
520.769658,463.30972,463.30972,981.01776,1938.308088,1054.184808,961.581051,0.009098,0.0,0.0,0.028883,0.038855,0.765395,0.157769,9660.174718,3503.561844,1306638.593414,-101683.100876,-592896.420306,-50625.809895,0.0,-559803.103681,-1630.158656,6e-06,0.018432,0.02813,0.0,6.6e-05,0.0,1.087425,0.334081,0.084236,0.0,0.02813,0.046447,0.0,0.102081,0.0,0.0,1.468135,1.620105,627.363666,627.363666,298.15,298.150142,60.0
520.731963,490.68843,490.68843,998.584328,1954.324828,1058.920509,969.6944,0.009052,0.0,0.0,0.036118,0.048598,0.761555,0.144677,17785.760517,6893.97183,1486686.676787,-65805.072574,-697613.9699,-59563.262052,0.0,-661386.521308,-2317.850953,7e-06,0.019208,0.032006,0.0,6.9e-05,0.0,1.133211,0.348147,0.095843,0.0,0.032006,0.052847,0.0,0.116147,0.0,0.0,1.532642,1.62153,682.460457,682.460457,298.150003,298.151725,90.0
520.706423,510.695652,510.695652,1010.698857,1966.355732,1062.672179,975.525009,0.009023,0.0,0.0,0.040699,0.054768,0.759123,0.136386,26348.783411,10684.717674,1639466.969691,-48103.248936,-770939.312587,-68926.773765,0.0,-748561.029371,-2936.605032,8e-06,0.019867,0.035295,0.0,7.1e-05,0.0,1.172062,0.360083,0.105693,0.0,0.035295,0.058278,0.0,0.128083,0.0,0.0,1.587379,1.648043,722.654878,722.654878,298.150049,298.159272,120.0
520.687372,526.47028,526.47028,1019.850064,1975.987008,1065.759921,980.004214,0.009004,0.0,0.0,0.043756,0.058885,0.7575,0.130855,35019.988263,14685.498135,1766967.378012,-37651.169784,-825135.876505,-76525.161066,0.0,-824152.72028,-3502.450377,9e-06,0.020416,0.03804,0.0,7.3e-05,0.0,1.204485,0.370044,0.113912,0.0,0.03804,0.06281,0.0,0.138044,0.0,0.0,1.633059,1.678224,754.315657,754.315657,298.150397,298.18182,150.0
520.673297,539.494161,539.494161,1027.150075,1984.034478,1068.378011,983.615209,0.00899,0.0,0.0,0.045947,0.061835,0.756337,0.12689,43655.169318,18795.849304,1874712.710138,-30793.250096,-866288.042382,-82891.738692,0.0,-890713.461893,-4026.217074,9e-06,0.020881,0.04036,0.0,7.5e-05,0.0,1.231884,0.378462,0.120859,0.0,0.04036,0.06664,0.0,0.146462,0.0,0.0,1.671661,1.707221,780.439303,780.439303,298.151956,298.231693,180.0
520.662456,550.585677,550.585677,1033.196722,1990.953917,1070.648952,986.629766,0.00898,0.0,0.0,0.047604,0.064067,0.755458,0.123892,52186.483011,22958.286858,1963625.193849,-25969.111157,-897917.669126,-85782.862087,0.0,-949440.027446,-4515.524034,1e-05,0.021264,0.042274,0.0,7.6e-05,0.0,1.254494,0.385408,0.126591,0.0,0.042274,0.069801,0.0,0.153408,0.0,0.0,1.703516,1.73261,802.677309,802.677309,298.156897,298.321932,210.0
520.653762,560.244847,560.244847,1038.342307,1997.031923,1072.653587,989.215421,0.008972,0.0,0.0,0.048868,0.065768,0.754787,0.121606,60581.601567,27138.060792,2036880.989238,-22400.363099,-922280.105086,-85698.809325,0.0,-1001525.762142,-4975.949587,1e-05,0.02158,0.043851,0.0,7.8e-05,0.0,1.273122,0.391131,0.131313,0.0,0.043851,0.072405,0.0,0.159131,0.0,0.0,1.729762,1.754252,822.037309,822.037309,298.169221,298.464423,240.0
520.646581,568.799659,568.799659,1042.811664,2002.455748,1074.447717,991.477996,0.008965,0.0,0.0,0.049852,0.067094,0.754264,0.119824,68826.057679,31313.366131,2094477.102389,-19659.4321,-940927.336306,-81020.921479,0.0,-1047457.695119,-5411.717385,1e-05,0.021828,0.045091,0.0,7.8e-05,0.0,1.287769,0.395631,0.135026,0.0,0.045091,0.074452,0.0,0.163631,0.0,0.0,1.750397,1.771452,839.179595,839.179595,298.195057,298.670208,270.0
