VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,19259105.0,2675.0,2908.0,[kJ]
Heat rate - burner,12686190.0,1762.0,2908.0,[kJ]
Heat rate - specimen comb.,6572915.0,913.0,1018.0,[kJ]
Heat rate - vent.,-12425041.0,-1726.0,2045.0,[kJ]
Heat rate - lining,-6337254.0,-880.0,1408.0,[kJ]
Heat rate - specimen,-285096.0,-40.0,71.0,[kJ]
Heat rate - intern. gas,-44031.0,-6.0,1907.0,[kJ]
Heat rate - window,-167683.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285119.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,273.0,0.0,0.0,[kg]
Mass rate - specimen,346.0,0.0,0.0,[kg]
Mass rate - ventilation in,11745.0,2.0,2.0,[kg]
Mass rate - ventilation ou,12282.0,2.0,26.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,464.0,779.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,111.7,-,-,[min]
,,,,
Length - charring,86.0,0.0,0.0,[mm]
Content - O2,64324.0,9.0,21.0,[% vol.]
