c_Ar,c_C3H8,c_CH4,c_CO2,c_H2O,c_N2,c_O2,content_vol_Ar,content_vol_C3H8,content_vol_CH4,content_vol_CO2,content_vol_H2O,content_vol_N2,content_vol_O2,hf_furnace,hf_furnace_average,hr_burner_combustion,hr_gas_enclosure,hr_lining,hr_specimen,hr_specimen_combustion,hr_ventilation,hr_windows,length_specimen_charring,mass_Ar,mass_C3H8,mass_CH4,mass_CO2,mass_H2O,mass_N2,mass_O2,mass_co2_burner_produced,mass_co2_specimen_produced,mass_fuel_in,mass_h2o_burner_produced,mass_h2o_specimen_produced,mass_o2_burner_required,mass_o2_specimen_required,mass_specimen_in,mass_ventilation_in,mass_ventilation_ou,temperature_gas,temperature_gas_target,temperature_lining,temperature_specimen,time
521.360072,302.984955,302.984955,848.970798,1864.849945,1039.992921,918.611148,0.00928,0.0,0.0,3e-05,0.0,0.780711,0.209979,0.000484,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,298.15,298.15,298.15,298.15,0.0
520.640511,576.476931,576.476931,1046.757956,2007.352751,1076.071363,993.487735,0.008924,0.0,0.0,0.056482,0.076023,0.750745,0.107827,76914.828249,35470.188609,2616232.686501,-17572.495271,-1254745.494842,-139821.336116,0.0,-1198210.896171,-5882.464102,1e-05,0.024077,0.056324,0.0,8.7e-05,0.0,1.420449,0.436393,0.168663,0.0,0.056324,0.092999,0.0,0.204393,0.0,0.0,1.937329,1.95588,854.560431,854.560431,298.242617,298.952064,300.0
520.607406,627.425299,627.425299,1071.340258,2040.414923,1087.055445,1006.056688,0.008395,0.0,0.0,0.102503,0.110234,0.706302,0.072565,149989.757579,75008.71222,721197.978638,-8405.769822,-1272257.014154,-99635.980064,1705180.913717,-1036794.023513,-9286.104803,9e-06,0.015909,0.015526,0.0,5.7e-05,0.0,0.938551,0.288344,0.046494,0.172565,0.015526,0.025636,0.070657,0.056344,0.125473,0.089746,1.258387,1.383477,956.577332,956.577332,302.286441,306.980408,600.0
520.592283,657.471741,657.471741,1084.627623,2060.316122,1093.518757,1012.89478,0.008356,0.0,0.0,0.106108,0.113141,0.702985,0.069411,212221.145072,110615.397239,639674.527704,-5370.993216,-1195406.950313,-99422.503211,1792889.729102,-1120488.696782,-11875.113284,1e-05,0.015557,0.013771,0.0,5.6e-05,0.0,0.91782,0.281975,0.041238,0.181441,0.013771,0.022738,0.074291,0.049975,0.131927,0.094363,1.229179,1.357361,1016.710953,1016.710953,317.601559,321.993494,900.0
520.582973,678.858478,678.858478,1093.575238,2074.607899,1098.075614,1017.525327,0.008324,0.0,0.0,0.108554,0.114565,0.700339,0.068219,267059.469373,142998.820299,535382.824748,-3912.108084,-1113547.627131,-93784.996717,1853960.916501,-1164078.902466,-14020.10685,1e-05,0.015108,0.011526,0.0,5.4e-05,0.0,0.891299,0.273827,0.034515,0.187621,0.011526,0.019031,0.076822,0.041827,0.136421,0.097577,1.191814,1.32291,1059.504927,1059.504927,343.676439,340.211106,1200.0
520.576431,695.476163,695.476163,1100.254877,2085.763196,1101.595559,1020.980676,0.0083,0.0,0.0,0.11034,0.115466,0.698307,0.067587,316508.25578,172831.957749,446201.117809,-3061.064915,-1041550.07349,-90179.843177,1897498.164698,-1193032.14477,-15876.156154,1e-05,0.014723,0.009606,0.0,5.3e-05,0.0,0.868621,0.266859,0.028766,0.192027,0.009606,0.015861,0.078626,0.034859,0.139625,0.099868,1.159862,1.293215,1092.75264,1092.75264,376.131849,359.708758,1500.0
520.571474,709.068661,709.068661,1105.551805,2094.911541,1104.458039,1023.71912,0.008281,0.0,0.0,0.11174,0.116084,0.696649,0.067247,361810.678382,200602.834162,369922.34631,-2505.425697,-979473.604839,-87227.589617,1930664.7958,-1213854.932879,-17525.589078,1e-05,0.014394,0.007964,0.0,5.2e-05,0.0,0.849223,0.2609,0.023848,0.195384,0.007964,0.01315,0.08,0.0289,0.142065,0.101614,1.132534,1.267696,1119.94588,1119.94588,411.104744,378.663855,1800.0
520.567528,720.569612,720.569612,1109.91825,2102.657455,1106.859673,1025.980528,0.008263,0.0,0.0,0.11291,0.116525,0.695211,0.067091,403796.54267,226665.89386,303391.567141,-2115.577568,-925329.647658,-84741.451587,1957282.226776,-1229468.880674,-19018.23643,1e-05,0.014108,0.006532,0.0,5.1e-05,0.0,0.832305,0.255702,0.019559,0.198078,0.006532,0.010785,0.081103,0.023702,0.144024,0.103015,1.108697,1.245378,1142.95368,1142.95368,446.103468,438.655459,2100.0
520.564278,730.537675,730.537675,1113.621767,2109.372251,1108.925012,1027.902601,0.008248,0.0,0.0,0.113909,0.116839,0.693937,0.067067,443051.6957,251285.593354,240714.806187,-1827.343156,-877559.220103,-80331.581627,1979571.735141,-1240181.476306,-20386.920137,1.1e-05,0.013838,0.005182,0.0,5e-05,0.0,0.816367,0.250806,0.015518,0.200333,0.005182,0.008557,0.082027,0.018806,0.145664,0.104188,1.086242,1.224211,1162.894236,1162.894236,479.732471,585.952753,2400.0
520.561532,739.333826,739.333826,1116.82619,2115.293002,1110.730371,1029.571458,0.008233,0.0,0.0,0.114845,0.11705,0.692684,0.067188,480007.886601,274664.772675,178215.337199,-1606.080951,-835324.685581,-73003.734565,1999510.680184,-1246136.932273,-21654.584015,1.1e-05,0.013568,0.003837,0.0,4.9e-05,0.0,0.800473,0.245923,0.011489,0.202351,0.003837,0.006335,0.082853,0.013923,0.147131,0.105237,1.06385,1.203013,1180.489985,1180.489985,511.296928,765.65091,2700.0
520.559166,747.204858,747.204858,1119.645595,2120.58722,1112.332637,1031.044427,0.008223,0.0,0.0,0.115559,0.117269,0.691768,0.067181,514994.1701,296962.848607,137388.774557,-1431.063219,-797922.257467,-73238.53299,2014309.034716,-1256267.962393,-22837.993203,1.1e-05,0.013392,0.002958,0.0,4.8e-05,0.0,0.790091,0.242733,0.008857,0.203849,0.002958,0.004884,0.083466,0.010733,0.14822,0.106016,1.049223,1.189274,1196.234809,1196.234809,540.512861,821.44738,3000.0
520.557096,754.326981,754.326981,1122.159709,2125.374752,1113.772254,1032.360321,0.008214,0.0,0.0,0.116112,0.117472,0.691086,0.067116,548268.178055,318307.74938,108953.266555,-1289.291253,-764447.798922,-76802.617471,2025700.050616,-1268163.7834,-23949.826125,1.1e-05,0.01327,0.002346,0.0,4.8e-05,0.0,0.78286,0.240512,0.007024,0.205002,0.002346,0.003873,0.083938,0.008512,0.149058,0.106616,1.039035,1.179763,1210.481313,1210.481313,567.328386,846.667685,3300.0
520.555261,760.830408,760.830408,1124.42612,2129.744055,1115.078742,1033.545808,0.008208,0.0,0.0,0.116573,0.117645,0.690518,0.067056,580036.117659,338803.975265,85617.169634,-1172.240425,-734632.030324,-80252.627439,2035166.125197,-1279726.459184,-24999.93746,1.1e-05,0.013169,0.001843,0.0,4.7e-05,0.0,0.776926,0.238689,0.00552,0.205959,0.001843,0.003043,0.084331,0.006689,0.149755,0.107114,1.030674,1.171966,1223.490051,1223.490051,591.816544,869.454741,3600.0
520.553618,766.814093,766.814093,1126.487729,2133.762283,1116.274299,1034.623435,0.008202,0.0,0.0,0.11696,0.117795,0.690044,0.066998,610466.095569,358538.199181,66719.44529,-1074.032716,-708406.436263,-83168.684721,2043058.19199,-1291132.322577,-25996.161003,1.1e-05,0.013088,0.001436,0.0,4.7e-05,0.0,0.77212,0.237212,0.004301,0.206758,0.001436,0.002372,0.084658,0.005212,0.150335,0.107529,1.023904,1.165666,1235.459015,1235.459015,614.110076,889.718328,3900.0
520.552133,772.354996,772.354996,1128.37732,2137.481617,1117.376027,1035.610533,0.008197,0.0,0.0,0.117283,0.117926,0.689654,0.066939,639697.303828,377583.259711,51660.620902,-990.502095,-685151.844685,-85722.950549,2049627.831083,-1302478.312878,-26944.841778,1.1e-05,0.013023,0.001112,0.0,4.7e-05,0.0,0.768291,0.236036,0.00333,0.207423,0.001112,0.001836,0.08493,0.004036,0.150819,0.107875,1.018509,1.160663,1246.542187,1246.542187,634.374651,907.758905,4200.0
520.550782,777.514156,777.514156,1130.119499,2140.942916,1118.396885,1036.520626,0.008194,0.0,0.0,0.117534,0.118049,0.689366,0.066856,667846.53824,396001.074137,41823.520873,-918.50625,-664595.789974,-88669.21558,2054788.420615,-1314577.228556,-27851.201128,1.1e-05,0.01298,0.0009,0.0,4.7e-05,0.0,0.76579,0.235267,0.002696,0.207945,0.0009,0.001487,0.085144,0.003267,0.151199,0.108147,1.014984,1.157444,1256.861693,1256.861693,652.776019,926.37774,4500.0
520.549543,782.340801,782.340801,1131.731933,2144.178168,1119.346301,1037.364456,0.008191,0.0,0.0,0.117731,0.118161,0.68915,0.066766,695012.939491,413844.807331,35254.064978,-855.879928,-646530.490441,-91208.003049,2058933.36741,-1326873.464376,-28719.594594,1.1e-05,0.012952,0.000759,0.0,4.7e-05,0.0,0.764119,0.234754,0.002273,0.208365,0.000759,0.001253,0.085315,0.002754,0.151504,0.108365,1.012631,1.155333,1266.51602,1266.51602,669.478822,944.203337,4800.0
520.548402,786.87521,786.87521,1133.231621,2147.214907,1120.233308,1038.150696,0.00819,0.0,0.0,0.11788,0.118264,0.689002,0.066664,721281.516001,431160.516023,31919.744235,-800.96333,-630746.735557,-93443.452031,2062151.918836,-1339526.813502,-29553.69865,1.1e-05,0.012938,0.000687,0.0,4.6e-05,0.0,0.763271,0.234494,0.002058,0.20869,0.000687,0.001135,0.085449,0.002494,0.15174,0.108534,1.011436,1.154324,1275.585754,1275.585754,684.636331,960.277636,5100.0
520.547345,791.15076,791.15076,1134.632651,2150.076014,1121.065429,1038.886444,0.008189,0.0,0.0,0.117985,0.118361,0.688914,0.066552,746725.810846,447988.415578,31417.400021,-752.430978,-616901.232589,-95461.567488,2064571.620485,-1352517.140593,-30356.648857,1.1e-05,0.012935,0.000676,0.0,4.6e-05,0.0,0.763143,0.234454,0.002025,0.208935,0.000676,0.001117,0.085549,0.002454,0.151918,0.108662,1.011256,1.15428,1284.137666,1284.137666,698.399174,974.831385,5400.0
