VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,15876810.0,2205.0,2812.0,[kJ]
Heat rate - burner,1823064.0,253.0,2811.0,[kJ]
Heat rate - specimen comb.,14053746.0,1952.0,2221.0,[kJ]
Heat rate - vent.,-9092836.0,-1263.0,1464.0,[kJ]
Heat rate - lining,-5835270.0,-810.0,1274.0,[kJ]
Heat rate - specimen,-734838.0,-102.0,177.0,[kJ]
Heat rate - intern. gas,-44966.0,-6.0,1907.0,[kJ]
Heat rate - window,-174274.0,-24.0,37.0,[kJ]
,,,,
Heat flux - instantaneous,4116937.0,572.0,967.0,[kW/m2]
Heat flux - average,2343242.0,325.0,572.0,[kW/m2]
,,,,
Mass rate - fuel,39.0,0.0,0.0,[kg]
Mass rate - specimen,740.0,0.0,0.0,[kg]
Mass rate - ventilation in,7853.0,1.0,2.0,[kg]
Mass rate - ventilation ou,8903.0,1.0,26.0,[kg]
,,,,
Temperature - furnace,-,915.0,1077.0,[deg C]
Temperature - lining,-,284.0,495.0,[deg C]
Temperature - specimen,-,480.0,818.0,[deg C]
,,,,
Time - temperature deviation,71.7,-,-,[min]
Time - ventilation controlled,111.7,-,-,[min]
,,,,
Length - charring,74.0,0.0,0.0,[mm]
Content - O2,48381.0,7.0,21.0,[% vol.]
