c_Ar,c_C3H8,c_CH4,c_CO2,c_H2O,c_N2,c_O2,content_vol_Ar,content_vol_C3H8,content_vol_CH4,content_vol_CO2,content_vol_H2O,content_vol_N2,content_vol_O2,hf_furnace,hf_furnace_average,hr_burner_combustion,hr_gas_enclosure,hr_lining,hr_specimen,hr_specimen_combustion,hr_ventilation,hr_windows,length_specimen_charring,mass_Ar,mass_C3H8,mass_CH4,mass_CO2,mass_H2O,mass_N2,mass_O2,mass_co2_burner_produced,mass_co2_specimen_produced,mass_fuel_in,mass_h2o_burner_produced,mass_h2o_specimen_produced,mass_o2_burner_required,mass_o2_specimen_required,mass_specimen_in,mass_ventilation_in,mass_ventilation_ou,temperature_gas,temperature_gas_target,temperature_lining,temperature_specimen,time
521.360072,302.984955,302.984955,848.970798,1864.849945,1039.992921,918.611148,0.00928,0.0,0.0,3e-05,0.0,0.780711,0.209979,0.000484,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,298.15,298.15,298.15,298.15,0.0
520.841123,419.714602,419.714602,950.536308,1914.13169,1047.768529,948.391278,0.009159,0.0,0.0,0.019125,0.025715,0.770575,0.175425,2842.168221,918.204365,1269839.454553,-208319.484016,-453689.63263,-150789.727464,0.0,-456187.903361,-852.707081,3e-06,0.018273,0.027338,0.0,6.6e-05,0.0,1.078068,0.331206,0.081864,0.0,0.027338,0.045139,0.0,0.099206,0.0,0.0,1.454951,1.825974,539.294651,539.294651,298.15,298.150002,30.0
520.769658,463.30972,463.30972,981.01776,1938.308088,1054.184808,961.581051,0.009076,0.0,0.0,0.032252,0.043392,0.763607,0.151672,9660.174718,3503.561844,1536224.506761,-101928.301931,-634069.782827,-208831.465817,0.0,-589760.295945,-1634.66024,6e-06,0.019422,0.033073,0.0,7e-05,0.0,1.145808,0.352018,0.099037,0.0,0.033073,0.054608,0.0,0.120018,0.0,0.0,1.55039,1.702697,627.363666,627.363666,298.15,298.150142,60.0
520.731963,490.68843,490.68843,998.584328,1954.324828,1058.920509,969.6944,0.009024,0.0,0.0,0.040511,0.054515,0.759223,0.136726,17785.760517,6893.97183,1764494.63762,-66018.380408,-746059.384476,-245698.455965,0.0,-704394.165213,-2324.251558,7e-06,0.020406,0.037987,0.0,7.3e-05,0.0,1.203856,0.369851,0.113753,0.0,0.037987,0.062722,0.0,0.137851,0.0,0.0,1.632173,1.721245,682.460457,682.460457,298.150003,298.151725,90.0
520.706423,510.695652,510.695652,1010.698857,1966.355732,1062.672179,975.525009,0.008992,0.0,0.0,0.045626,0.061402,0.756508,0.127472,26348.783411,10684.717674,1964659.26572,-48281.237046,-824476.76485,-284322.941781,0.0,-804633.607754,-2944.714289,8e-06,0.021268,0.042296,0.0,7.6e-05,0.0,1.254757,0.385489,0.126657,0.0,0.042296,0.069837,0.0,0.153489,0.0,0.0,1.703887,1.764701,722.654878,722.654878,298.150049,298.159272,120.0
520.687372,526.47028,526.47028,1019.850064,1975.987008,1065.759921,980.004214,0.008971,0.0,0.0,0.049004,0.065952,0.754715,0.121359,35019.988263,14685.498135,2131483.496315,-37801.646971,-882436.97904,-315666.289397,0.0,-892066.458725,-3512.122181,9e-06,0.021987,0.045888,0.0,7.9e-05,0.0,1.297179,0.398522,0.137412,0.0,0.045888,0.075768,0.0,0.166522,0.0,0.0,1.763656,1.808964,754.315657,754.315657,298.150397,298.18182,150.0
520.673297,539.494161,539.494161,1027.150075,1984.034478,1068.378011,983.615209,0.008956,0.0,0.0,0.051409,0.069191,0.753438,0.117007,43655.169318,18795.849304,2272782.152532,-30922.777274,-926446.934214,-341928.422107,0.0,-969446.683709,-4037.335229,9e-06,0.022596,0.04893,0.0,8.1e-05,0.0,1.333111,0.409561,0.146521,0.0,0.04893,0.08079,0.0,0.177561,0.0,0.0,1.814279,1.849985,780.439303,780.439303,298.151956,298.231693,180.0
520.662456,550.585677,550.585677,1033.196722,1990.953917,1070.648952,986.629766,0.008944,0.0,0.0,0.053184,0.071581,0.752495,0.113795,52186.483011,22958.286858,2380919.028961,-26081.795556,-960273.062815,-353854.306108,0.0,-1036181.871103,-4527.99338,9e-06,0.023063,0.051258,0.0,8.3e-05,0.0,1.360609,0.418009,0.153493,0.0,0.051258,0.084634,0.0,0.186009,0.0,0.0,1.853022,1.882242,802.677309,802.677309,298.156897,298.321932,210.0
520.653762,560.244847,560.244847,1038.342307,1997.031923,1072.653587,989.215421,0.008937,0.0,0.0,0.054396,0.073213,0.751852,0.111603,60581.601567,27138.060792,2460571.992378,-22497.414329,-986327.334605,-353507.588466,0.0,-1093249.964608,-4989.69037,1e-05,0.023406,0.052972,0.0,8.4e-05,0.0,1.380865,0.424232,0.158628,0.0,0.052972,0.087466,0.0,0.192232,0.0,0.0,1.881559,1.906166,822.037309,822.037309,298.169221,298.464423,240.0
520.646581,568.799659,568.799659,1042.811664,2002.455748,1074.447717,991.477996,0.008932,0.0,0.0,0.055212,0.074312,0.751419,0.110126,68826.057679,31313.366131,2505382.808117,-19742.62279,-1006269.512439,-334211.301103,0.0,-1139732.710271,-5426.661515,1e-05,0.023599,0.053937,0.0,8.5e-05,0.0,1.39226,0.427733,0.161516,0.0,0.053937,0.089059,0.0,0.195733,0.0,0.0,1.897614,1.918747,839.179595,839.179595,298.195057,298.670208,270.0
520.640511,576.476931,576.476931,1046.757956,2007.352751,1076.071363,993.487735,0.008929,0.0,0.0,0.055566,0.074789,0.751231,0.109485,76914.828249,35470.188609,2520744.179163,-17559.845398,-1021304.472546,-299617.148819,0.0,-1176420.509039,-5842.203361,1e-05,0.023665,0.054268,0.0,8.5e-05,0.0,1.396166,0.428933,0.162507,0.0,0.054268,0.089605,0.0,0.196933,0.0,0.0,1.903118,1.921585,854.560431,854.560431,298.242617,298.952064,300.0
520.635289,583.440063,583.440063,1050.27852,2011.816442,1077.554167,995.284845,0.008929,0.0,0.0,0.055605,0.074842,0.75121,0.109414,84848.026976,39599.406631,2506575.835034,-15789.674977,-1032343.092041,-248662.356775,0.0,-1203541.7702,-6238.94104,1e-05,0.023604,0.053963,0.0,8.5e-05,0.0,1.392563,0.427826,0.161593,0.0,0.053963,0.089101,0.0,0.195826,0.0,0.0,1.898041,1.914372,868.508317,868.508317,298.321849,299.32474,330.0
520.63073,589.810681,589.810681,1053.451278,2015.917473,1078.918673,996.906291,0.00893,0.0,0.0,0.055462,0.074649,0.751286,0.109672,92628.581093,43695.075154,2499891.997802,-14328.196909,-1040095.644492,-209429.76368,0.0,-1229419.387379,-6619.005342,1.1e-05,0.023575,0.053819,0.0,8.5e-05,0.0,1.390864,0.427304,0.161162,0.0,0.053819,0.088863,0.0,0.195304,0.0,0.0,1.895647,1.910325,881.267648,881.267648,298.443917,299.799242,360.0
520.626701,595.681762,595.681762,1056.337078,2019.710521,1080.182419,998.382594,0.008929,0.0,0.0,0.055558,0.074778,0.751235,0.109499,100260.928972,47753.366127,2522541.485272,-13106.294661,-1045129.18521,-196939.828884,0.0,-1260382.022505,-6984.154012,1.1e-05,0.023673,0.054307,0.0,8.5e-05,0.0,1.396623,0.429074,0.162623,0.0,0.054307,0.089668,0.0,0.197074,0.0,0.0,1.903762,1.917126,893.025175,893.025175,298.620604,300.379363,390.0
520.623105,601.125982,601.125982,1058.981977,2023.238761,1081.359039,999.736755,0.008927,0.0,0.0,0.055946,0.075301,0.751029,0.108797,107750.269851,51771.891521,2563121.853719,-12070.711845,-1047904.553673,-201245.898084,0.0,-1294564.832821,-7335.857295,1.1e-05,0.023848,0.05518,0.0,8.6e-05,0.0,1.406943,0.432244,0.165239,0.0,0.05518,0.091111,0.0,0.200244,0.0,0.0,1.9183,1.930555,903.926825,903.926825,298.863744,301.062615,420.0
520.619866,606.201227,606.201227,1061.41958,2026.53688,1082.457283,1000.984458,0.008924,0.0,0.0,0.056376,0.07588,0.750801,0.108018,115102.124169,55749.258356,2600386.612955,-11180.181659,-1048801.272012,-205920.487765,0.0,-1326809.31172,-7675.359799,1.1e-05,0.024009,0.055982,0.0,8.6e-05,0.0,1.416419,0.435155,0.167641,0.0,0.055982,0.092436,0.0,0.203155,0.0,0.0,1.931651,1.942944,914.088793,914.088793,299.184738,301.842354,450.0
520.616929,610.954351,610.954351,1063.678531,2029.63316,1083.486362,1002.14015,0.008922,0.0,0.0,0.056774,0.076416,0.75059,0.107299,122322.074235,59684.769183,2634146.650888,-10407.046266,-1048134.958126,-210490.108746,0.0,-1357110.81153,-8003.726221,1.1e-05,0.024154,0.056709,0.0,8.7e-05,0.0,1.425004,0.437793,0.169818,0.0,0.056709,0.093636,0.0,0.205793,0.0,0.0,1.943747,1.954212,923.605108,923.605108,299.594165,302.709829,480.0
520.580214,685.695484,685.695484,1096.351385,2079.192563,1099.525863,1018.962132,0.008278,0.0,0.0,0.117617,0.128076,0.69647,0.049559,286727.378523,66931.437775,216268.170927,-0.0,-1784763.744404,-333224.459996,3067092.451464,-1150707.374163,-14665.043828,8e-06,0.013732,0.004656,0.0,4.9e-05,0.0,0.81015,0.248896,0.013942,0.310391,0.004656,0.007688,0.12709,0.016896,0.225687,0.161426,1.077483,1.28129,1073.240968,932.552936,300.101513,303.656022,510.0
520.580214,685.695484,685.695484,1096.351385,2079.192563,1099.525863,1018.962132,0.007941,0.0,0.0,0.148486,0.153025,0.668101,0.022447,286727.378523,79131.027456,104281.987005,-0.0,-1628303.784371,-307249.870702,2988533.118365,-1142596.406468,-14665.043828,7e-06,0.013249,0.002245,0.0,4.8e-05,0.0,0.781672,0.240147,0.006723,0.302441,0.002245,0.003707,0.123835,0.008147,0.219907,0.157291,1.037362,1.24082,1073.240968,940.996387,300.715,304.676972,540.0
520.577106,693.695484,693.695484,1099.549934,2084.565925,1101.219166,1020.616289,0.007781,0.0,0.0,0.162622,0.163713,0.65458,0.011305,310594.1939,90494.596646,0.0,-32165.238885,-1610390.33621,-333015.577763,3144500.485768,-1160263.046906,-15550.30048,8e-06,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.318224,0.0,0.0,0.130298,0.0,0.231383,0.1655,1.0,1.238499,1088.990968,948.9893,301.441485,305.782307,570.0
520.57362,703.070484,703.070484,1103.233153,2090.873441,1103.198026,1022.519848,0.007714,0.0,0.0,0.169293,0.169837,0.648978,0.004179,341334.031131,102404.965898,102668.795871,-0.0,-1615669.890226,-384269.101675,3112863.194237,-1198922.423601,-16670.574605,8e-06,0.013243,0.00221,0.0,4.8e-05,0.0,0.781262,0.240021,0.006619,0.315023,0.00221,0.00365,0.128987,0.008021,0.229055,0.173366,1.036784,1.252367,1107.990968,956.577332,302.286475,306.991986,600.0
520.572494,706.195484,706.195484,1104.444816,2092.977108,1103.855144,1023.146418,0.007714,0.0,0.0,0.169239,0.169766,0.649007,0.004274,351927.549354,114000.759242,46654.612019,-0.0,-1553497.370409,-391163.759761,3120093.643656,-1205035.212647,-17051.912858,9e-06,0.013001,0.001004,0.0,4.7e-05,0.0,0.767018,0.235645,0.003008,0.315755,0.001004,0.001658,0.129286,0.003645,0.229587,0.180261,1.016715,1.23226,1114.240968,963.799529,303.254338,308.308001,630.0
520.570206,712.695484,712.695484,1106.939761,2097.353766,1105.217379,1024.437534,0.007707,0.0,0.0,0.16972,0.169862,0.648354,0.004358,374301.08098,125246.797739,8828.183144,-0.0,-1544288.711585,-353428.494814,3133843.500327,-1227104.489756,-17849.987317,9e-06,0.012838,0.00019,0.0,4.6e-05,0.0,0.757399,0.23269,0.000569,0.317146,0.00019,0.000314,0.129856,0.00069,0.230599,0.186324,1.003163,1.219562,1126.990968,970.689552,304.348839,309.715289,660.0
520.567695,720.070484,720.070484,1109.730829,2102.321207,1106.75582,1025.883383,0.007704,0.0,0.0,0.169841,0.169858,0.648169,0.004428,401496.520384,136694.01931,0.0,-15572.690276,-1547286.897046,-329377.394182,3144028.339382,-1251044.39786,-18807.66352,9e-06,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.318177,0.0,0.0,0.130278,0.0,0.231349,0.192074,1.0,1.227312,1141.740968,977.276617,305.573836,311.196461,690.0
520.565675,726.195484,726.195484,1112.018016,2106.447744,1108.027772,1027.069482,0.007704,0.0,0.0,0.169842,0.169828,0.648147,0.00448,425186.898937,148234.018713,1300.565539,-0.0,-1536225.159469,-323948.893138,3149592.547524,-1271087.314331,-19631.746125,9e-06,0.012806,2.8e-05,0.0,4.6e-05,0.0,0.755485,0.232102,8.4e-05,0.31874,2.8e-05,4.6e-05,0.130509,0.000102,0.231758,0.19748,1.000466,1.217967,1153.990968,983.586248,306.933782,312.738964,720.0
520.56395,731.570484,731.570484,1114.001056,2110.067684,1109.137827,1028.099842,0.007704,0.0,0.0,0.169816,0.169796,0.648163,0.004521,446826.631987,159755.672538,0.0,-15326.005391,-1519453.219742,-325213.845494,3152032.10854,-1279119.719045,-20376.869513,1e-05,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.318987,0.0,0.0,0.13061,0.0,0.231938,0.202516,1.0,1.227477,1164.740968,989.640874,308.433812,314.339163,750.0
520.562383,736.570484,736.570484,1115.825756,2113.433475,1110.164931,1029.049832,0.007705,0.0,0.0,0.169786,0.169766,0.648186,0.004558,467688.50325,171198.458021,0.0,-15220.753324,-1502201.844906,-326325.895292,3152868.826035,-1295401.050425,-21088.780654,1e-05,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.319071,0.0,0.0,0.130645,0.0,0.231999,0.207191,1.0,1.227367,1174.740968,995.460308,310.079474,316.035104,780.0
520.561155,740.570484,740.570484,1117.272094,2116.125037,1110.982919,1029.804129,0.007705,0.0,0.0,0.169758,0.169739,0.648209,0.004589,485442.451447,182519.396804,0.0,-15135.233879,-1477311.589516,-338660.85214,3153044.085726,-1309122.00894,-21689.956205,1e-05,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.319089,0.0,0.0,0.130652,0.0,0.232012,0.211523,1.0,1.227243,1182.990968,1001.062142,311.876248,317.950523,810.0
520.560024,744.320484,744.320484,1118.617512,2118.647537,1111.746884,1030.506815,0.007705,0.0,0.0,0.169703,0.169707,0.648267,0.004617,502016.682168,193626.193895,0.0,-15058.220139,-1452910.829805,-356347.083485,3153013.91475,-1323737.063094,-22247.504071,1e-05,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.319086,0.0,0.0,0.130651,0.0,0.23201,0.2155,1.0,1.227105,1190.490968,1006.462063,313.829054,320.14092,840.0
520.558948,747.945484,747.945484,1119.908644,2121.085201,1112.482785,1031.182074,0.007706,0.0,0.0,0.169662,0.169679,0.648309,0.004644,517865.509667,204526.952027,7125.031238,-0.0,-1429358.716458,-365711.41421,3152954.036204,-1342231.45982,-22777.476954,1e-05,0.012831,0.000153,0.0,4.6e-05,0.0,0.756966,0.232557,0.000459,0.31908,0.000153,0.000253,0.130648,0.000557,0.232005,0.219164,1.002553,1.220312,1197.490968,1011.674122,315.941864,322.471186,870.0
520.557817,751.820484,751.820484,1121.278816,2123.690181,1113.266682,1031.899324,0.007706,0.0,0.0,0.169666,0.169663,0.648291,0.004674,535846.978521,215267.881388,380.34188,-0.0,-1414161.234311,-360817.59374,3152912.217433,-1354938.557482,-23375.17378,1.1e-05,0.012802,8e-06,0.0,4.6e-05,0.0,0.755251,0.23203,2.5e-05,0.319076,8e-06,1.4e-05,0.130646,3e-05,0.232002,0.22257,1.000136,1.217843,1205.240968,1016.710953,318.217445,324.854876,900.0
520.556563,756.195484,756.195484,1122.81368,2126.630323,1114.148395,1032.70248,0.007706,0.0,0.0,0.169661,0.169642,0.648284,0.004707,557311.828351,225948.84256,0.0,-14821.909132,-1408781.266861,-352960.63906,3152890.874532,-1369713.68192,-24083.893368,1.1e-05,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.319074,0.0,0.0,0.130645,0.0,0.232001,0.225792,1.0,1.22675,1214.240968,1021.583954,320.657224,327.257077,930.0
520.555333,760.570484,760.570484,1124.336059,2129.569468,1115.026669,1033.498716,0.007706,0.0,0.0,0.169637,0.169616,0.648302,0.00474,578792.471229,236636.588209,0.0,-14737.07767,-1401510.884919,-344576.009594,3152882.262565,-1374308.709782,-24788.201977,1.1e-05,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.319073,0.0,0.0,0.130645,0.0,0.232,0.22888,1.0,1.226622,1222.990968,1026.30345,323.261254,329.678661,960.0
520.554195,764.695484,764.695484,1125.760324,2132.339775,1115.851694,1034.243291,0.007706,0.0,0.0,0.169611,0.16959,0.648321,0.004771,598969.856201,247316.409397,83.263528,-0.0,-1389969.032244,-340318.621712,3152879.67576,-1397229.777572,-25445.507759,1.1e-05,0.0128,2e-06,0.0,4.6e-05,0.0,0.755175,0.232007,5e-06,0.319072,2e-06,3e-06,0.130645,7e-06,0.232,0.231838,1.00003,1.217745,1230.990968,1030.878816,326.028244,332.15634,990.0
520.553177,768.445484,768.445484,1127.045988,2134.857508,1116.599204,1034.915123,0.007706,0.0,0.0,0.16959,0.169567,0.648337,0.0048,619015.361874,257956.98963,0.0,-14587.371181,-1378913.698459,-339693.026216,3152879.322976,-1400071.77027,-26094.611628,1.1e-05,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.319072,0.0,0.0,0.130645,0.0,0.232,0.234662,1.0,1.226398,1238.740968,1035.318596,328.955643,335.080162,1020.0
520.552175,772.195484,772.195484,1128.323178,2137.374565,1117.34438,1035.582258,0.007707,0.0,0.0,0.169554,0.16954,0.648372,0.004828,638889.251129,268550.690981,0.0,-14517.274417,-1368094.965626,-342865.577822,3152879.542442,-1414628.700095,-26734.484493,1.1e-05,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.319072,0.0,0.0,0.130645,0.0,0.232,0.237359,1.0,1.226287,1246.240968,1039.630594,332.03975,339.02517,1050.0
520.551385,775.195484,775.195484,1129.338856,2139.387682,1117.938826,1036.112659,0.007707,0.0,0.0,0.169503,0.169512,0.648427,0.004851,655129.823451,279066.298931,0.0,-14461.029981,-1348666.144579,-354613.515355,3152879.777527,-1425611.428894,-27254.769322,1.1e-05,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.319072,0.0,0.0,0.130645,0.0,0.232,0.239925,1.0,1.226188,1252.240968,1043.821961,335.275873,343.001014,1080.0
520.550702,777.820484,777.820484,1130.222336,2141.148332,1118.457304,1036.574396,0.007708,0.0,0.0,0.169479,0.169492,0.648449,0.004871,669592.583366,289419.195184,8205.506384,-0.0,-1328093.429812,-364392.425578,3152879.915685,-1440883.371445,-27716.195235,1.1e-05,0.012835,0.000177,0.0,4.6e-05,0.0,0.757241,0.232641,0.000529,0.319072,0.000177,0.000292,0.130645,0.000641,0.232,0.242335,1.00294,1.220707,1257.490968,1047.899263,338.658502,346.539237,1110.0
520.549931,780.820484,780.820484,1131.225854,2143.15943,1119.04784,1037.099442,0.007708,0.0,0.0,0.16946,0.169474,0.648465,0.004893,685706.095565,299630.981873,7046.056586,-0.0,-1314416.918445,-366895.090204,3152879.977071,-1450385.78391,-28228.241097,1.2e-05,0.01283,0.000152,0.0,4.6e-05,0.0,0.756946,0.23255,0.000454,0.319072,0.000152,0.00025,0.130645,0.00055,0.232,0.244608,1.002524,1.22028,1263.240968,1051.868544,342.181495,349.837544,1140.0
520.549105,784.070484,784.070484,1132.305704,2145.336851,1119.685211,1037.665106,0.007708,0.0,0.0,0.169435,0.169452,0.648487,0.004919,704991.087877,309778.791194,8162.872089,-0.0,-1308815.919217,-361839.068784,3152879.998089,-1461549.555886,-28838.326291,1.2e-05,0.012835,0.000176,0.0,4.6e-05,0.0,0.75723,0.232638,0.000526,0.319072,0.000176,0.00029,0.130645,0.000638,0.232,0.246785,1.002925,1.220689,1269.990968,1055.73538,345.838257,353.024799,1170.0
520.548229,787.570484,787.570484,1133.460304,2147.680318,1120.368902,1038.270708,0.007708,0.0,0.0,0.169414,0.169431,0.648502,0.004944,724680.030684,319906.53402,7154.41817,-0.0,-1302874.201626,-354974.41354,3152880.002687,-1472727.588454,-29458.217237,1.2e-05,0.012831,0.000154,0.0,4.6e-05,0.0,0.756973,0.232559,0.000461,0.319073,0.000154,0.000254,0.130645,0.000559,0.232,0.248889,1.002563,1.220318,1276.740968,1059.504927,349.621898,356.275164,1200.0
