c_Ar,c_C3H8,c_CH4,c_CO2,c_H2O,c_N2,c_O2,content_vol_Ar,content_vol_C3H8,content_vol_CH4,content_vol_CO2,content_vol_H2O,content_vol_N2,content_vol_O2,hf_furnace,hf_furnace_average,hr_burner_combustion,hr_gas_enclosure,hr_lining,hr_specimen,hr_specimen_combustion,hr_ventilation,hr_windows,length_specimen_charring,mass_Ar,mass_C3H8,mass_CH4,mass_CO2,mass_H2O,mass_N2,mass_O2,mass_co2_burner_produced,mass_co2_specimen_produced,mass_fuel_in,mass_h2o_burner_produced,mass_h2o_specimen_produced,mass_o2_burner_required,mass_o2_specimen_required,mass_specimen_in,mass_ventilation_in,mass_ventilation_ou,temperature_gas,temperature_gas_target,temperature_lining,temperature_specimen,time
521.360072,302.984955,302.984955,848.970798,1864.849945,1039.992921,918.611148,0.00928,0.0,0.0,3e-05,0.0,0.780711,0.209979,0.000484,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,298.15,298.15,298.15,298.15,0.0
520.841123,419.714602,419.714602,950.536308,1914.13169,1047.768529,948.391278,0.009157,0.0,0.0,0.019421,0.026113,0.770418,0.174891,2842.168221,918.204365,1301947.626844,-208360.43537,-583315.241953,-50263.242488,0.0,-459149.070175,-859.636858,3e-06,0.018412,0.028029,0.0,6.6e-05,0.0,1.086233,0.333715,0.083934,0.0,0.028029,0.04628,0.0,0.101715,0.0,0.0,1.466454,1.837587,539.294651,539.294651,298.15,298.150002,30.0
520.769658,463.30972,463.30972,981.01776,1938.308088,1054.184808,961.581051,0.009072,0.0,0.0,0.032924,0.044298,0.76325,0.150455,9660.174718,3503.561844,1584530.371474,-101977.250529,-815232.57792,-69610.488606,0.0,-596062.109627,-1647.944792,6e-06,0.01963,0.034113,0.0,7.1e-05,0.0,1.158092,0.355791,0.102151,0.0,0.034113,0.056325,0.0,0.123791,0.0,0.0,1.567696,1.720073,627.363666,627.363666,298.15,298.150142,60.0
520.731963,490.68843,490.68843,998.584328,1954.324828,1058.920509,969.6944,0.009019,0.0,0.0,0.041393,0.055702,0.758755,0.135132,17785.760517,6893.97183,1823017.998688,-66061.175766,-959219.208612,-81899.485322,0.0,-713494.98871,-2343.140277,7e-06,0.020658,0.039247,0.0,7.4e-05,0.0,1.218738,0.374423,0.117526,0.0,0.039247,0.064803,0.0,0.142423,0.0,0.0,1.65314,1.742246,682.460457,682.460457,298.150003,298.151725,90.0
520.706423,510.695652,510.695652,1010.698857,1966.355732,1062.672179,975.525009,0.008987,0.0,0.0,0.046505,0.062586,0.756041,0.125881,26348.783411,10684.717674,2020431.497273,-48313.088447,-1060041.554808,-94774.313927,0.0,-814333.894708,-2968.645383,8e-06,0.021509,0.043497,0.0,7.7e-05,0.0,1.268939,0.389846,0.130253,0.0,0.043497,0.07182,0.0,0.157846,0.0,0.0,1.723869,1.784679,722.654878,722.654878,298.150049,298.159272,120.0
520.687372,526.47028,526.47028,1019.850064,1975.987008,1065.759921,980.004214,0.008966,0.0,0.0,0.04978,0.066997,0.754302,0.119954,35019.988263,14685.498135,2182879.130902,-37823.990305,-1134561.830195,-105222.096466,0.0,-901730.549452,-3540.664484,9e-06,0.022209,0.046994,0.0,8e-05,0.0,1.310249,0.402537,0.140725,0.0,0.046994,0.077595,0.0,0.170537,0.0,0.0,1.782069,1.827368,754.315657,754.315657,298.150397,298.18182,150.0
520.673297,539.494161,539.494161,1027.150075,1984.034478,1068.378011,983.615209,0.008951,0.0,0.0,0.052068,0.070078,0.753088,0.115815,43655.169318,18795.849304,2318754.277939,-30938.462592,-1191146.058275,-113976.140702,0.0,-978623.47054,-4070.14583,9e-06,0.022795,0.049919,0.0,8.2e-05,0.0,1.344801,0.413153,0.149485,0.0,0.049919,0.082424,0.0,0.181153,0.0,0.0,1.83075,1.866447,780.439303,780.439303,298.151956,298.231693,180.0
520.662456,550.585677,550.585677,1033.196722,1990.953917,1070.648952,986.629766,0.008941,0.0,0.0,0.053768,0.072367,0.752186,0.112739,52186.483011,22958.286858,2429485.338985,-26093.572543,-1234636.795048,-117951.435369,0.0,-1046238.744564,-4564.791461,9e-06,0.023272,0.052303,0.0,8.4e-05,0.0,1.37296,0.421804,0.156624,0.0,0.052303,0.086361,0.0,0.189804,0.0,0.0,1.870422,1.899659,802.677309,802.677309,298.156897,298.321932,210.0
520.653762,560.244847,560.244847,1038.342307,1997.031923,1072.653587,989.215421,0.008933,0.0,0.0,0.055039,0.07408,0.751511,0.110438,60581.601567,27138.060792,2519429.084342,-22508.690226,-1268135.144493,-117835.862822,0.0,-1105919.146233,-5030.240568,9e-06,0.02366,0.05424,0.0,8.5e-05,0.0,1.395832,0.42883,0.162422,0.0,0.05424,0.089558,0.0,0.19683,0.0,0.0,1.902646,1.927287,822.037309,822.037309,298.169221,298.464423,240.0
520.646581,568.799659,568.799659,1042.811664,2002.455748,1074.447717,991.477996,0.008927,0.0,0.0,0.056012,0.075389,0.750995,0.108678,68826.057679,31313.366131,2588516.069656,-19754.958809,-1293775.087421,-111403.767034,0.0,-1158111.493503,-5470.762888,1e-05,0.023957,0.055727,0.0,8.6e-05,0.0,1.4134,0.434228,0.166876,0.0,0.055727,0.092014,0.0,0.202228,0.0,0.0,1.927399,1.948607,839.179595,839.179595,298.195057,298.670208,270.0
520.640511,576.476931,576.476931,1046.757956,2007.352751,1076.071363,993.487735,0.008922,0.0,0.0,0.056708,0.076326,0.750625,0.107419,76914.828249,35470.188609,2640102.383078,-17575.605956,-1313105.750416,-99872.38294,0.0,-1203658.962008,-5889.681758,1e-05,0.02418,0.056838,0.0,8.7e-05,0.0,1.426518,0.438258,0.170202,0.0,0.056838,0.093847,0.0,0.206258,0.0,0.0,1.945881,1.964453,854.560431,854.560431,298.242617,298.952064,300.0
520.635289,583.440063,583.440063,1050.27852,2011.816442,1077.554167,995.284845,0.008919,0.0,0.0,0.057206,0.076997,0.750361,0.106518,84848.026976,39599.406631,2675380.304688,-15809.662949,-1327298.261196,-82887.452258,0.0,-1243095.284639,-6289.643644,1e-05,0.024332,0.057597,0.0,8.7e-05,0.0,1.435489,0.441014,0.172476,0.0,0.057597,0.095101,0.0,0.209014,0.0,0.0,1.95852,1.975,868.508317,868.508317,298.321849,299.32474,330.0
520.63073,589.810681,589.810681,1053.451278,2015.917473,1078.918673,996.906291,0.008917,0.0,0.0,0.057571,0.077489,0.750167,0.105856,92628.581093,43695.075154,2707674.203586,-14352.298614,-1337265.828632,-69809.921227,0.0,-1279573.358462,-6672.796652,1e-05,0.024471,0.058292,0.0,8.8e-05,0.0,1.443702,0.443537,0.174558,0.0,0.058292,0.096249,0.0,0.211537,0.0,0.0,1.97009,1.984906,881.267648,881.267648,298.443917,299.799242,360.0
520.626701,595.681762,595.681762,1056.337078,2019.710521,1080.182419,998.382594,0.008914,0.0,0.0,0.057951,0.078001,0.749965,0.105169,100260.928972,47753.366127,2745072.852323,-13131.498001,-1343737.523841,-65646.609628,0.0,-1315516.308042,-7040.91281,1e-05,0.024632,0.059097,0.0,8.9e-05,0.0,1.453212,0.446459,0.176969,0.0,0.059097,0.097579,0.0,0.214459,0.0,0.0,1.983489,1.99695,893.025175,893.025175,298.620604,300.379363,390.0
520.623105,601.125982,601.125982,1058.981977,2023.238761,1081.359039,999.736755,0.008912,0.0,0.0,0.058369,0.078564,0.749743,0.104412,107750.269851,51771.891521,2784437.354899,-12094.348316,-1347305.854723,-67081.966028,0.0,-1350559.711518,-7395.474314,1.1e-05,0.024802,0.059945,0.0,8.9e-05,0.0,1.463222,0.449534,0.179506,0.0,0.059945,0.098978,0.0,0.217534,0.0,0.0,1.997592,2.009918,903.926825,903.926825,298.863744,301.062615,420.0
520.619866,606.201227,606.201227,1061.41958,2026.53688,1082.457283,1000.984458,0.008909,0.0,0.0,0.058755,0.079083,0.749538,0.103714,115102.124169,55749.258356,2819239.763487,-11201.770061,-1348458.778302,-68640.162588,0.0,-1383201.31665,-7737.735886,1.1e-05,0.024952,0.060694,0.0,9e-05,0.0,1.472072,0.452253,0.18175,0.0,0.060694,0.100215,0.0,0.220253,0.0,0.0,2.010061,2.021419,914.088793,914.088793,299.184738,301.842354,450.0
520.616929,610.954351,610.954351,1063.678531,2029.63316,1083.486362,1002.14015,0.008907,0.0,0.0,0.059093,0.079539,0.749359,0.103102,122322.074235,59684.769183,2849894.481135,-10426.721501,-1347602.089019,-70163.369582,0.0,-1413633.530159,-8068.770875,1.1e-05,0.025084,0.061354,0.0,9e-05,0.0,1.479868,0.454648,0.183726,0.0,0.061354,0.101305,0.0,0.222648,0.0,0.0,2.021044,2.031574,923.605108,923.605108,299.594165,302.709829,480.0
520.614247,615.423816,615.423816,1065.782501,2032.55097,1084.454481,1003.216071,0.008718,0.0,0.0,0.075029,0.090696,0.733472,0.092084,129415.612177,63578.216414,1163168.18005,-9868.02061,-1345075.636984,-70876.340749,1347510.024669,-1076468.700385,-8389.505991,1e-05,0.017814,0.025041,0.0,6.4e-05,0.0,1.050942,0.322873,0.074987,0.136368,0.025041,0.041347,0.055836,0.090873,0.099155,0.070922,1.416733,1.514261,932.552936,932.552936,300.101513,303.656022,510.0
