c_Ar,c_C3H8,c_CH4,c_CO2,c_H2O,c_N2,c_O2,content_vol_Ar,content_vol_C3H8,content_vol_CH4,content_vol_CO2,content_vol_H2O,content_vol_N2,content_vol_O2,hf_furnace,hf_furnace_average,hr_burner_combustion,hr_gas_enclosure,hr_lining,hr_specimen,hr_specimen_combustion,hr_ventilation,hr_windows,length_specimen_charring,mass_Ar,mass_C3H8,mass_CH4,mass_CO2,mass_H2O,mass_N2,mass_O2,mass_co2_burner_produced,mass_co2_specimen_produced,mass_fuel_in,mass_h2o_burner_produced,mass_h2o_specimen_produced,mass_o2_burner_required,mass_o2_specimen_required,mass_specimen_in,mass_ventilation_in,mass_ventilation_ou,temperature_gas,temperature_gas_target,temperature_lining,temperature_specimen,time
521.360072,302.984955,302.984955,848.970798,1864.849945,1039.992921,918.611148,0.00928,0.0,0.0,3e-05,0.0,0.780711,0.209979,0.000484,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,298.15,298.15,298.15,298.15,0.0
520.769658,463.30972,463.30972,981.01776,1938.308088,1054.184808,961.581051,0.009016,0.0,0.0,0.028414,0.056781,0.758553,0.147236,9660.174718,3503.561844,1788527.260893,-123977.370947,-1021099.390526,0.0,0.0,-641794.662355,-1655.837065,0.0,0.020669,0.0,0.035771,7.4e-05,0.0,1.219397,0.374626,0.098055,0.0,0.035771,0.080316,0.0,0.142626,0.0,0.0,1.650537,1.838255,627.363666,627.363666,298.15,0.0,60.0
520.706423,510.695652,510.695652,1010.698857,1966.355732,1062.672179,975.525009,0.0089,0.0,0.0,0.041007,0.081974,0.748722,0.119397,26348.783411,10684.717674,2265357.375835,-58773.845897,-1327728.816123,0.0,0.0,-875871.851111,-2982.862704,0.0,0.022767,0.0,0.045307,8.2e-05,0.0,1.343167,0.412651,0.124197,0.0,0.045307,0.101729,0.0,0.180651,0.0,0.0,1.823973,1.897698,722.654878,722.654878,298.150049,0.0,120.0
520.673297,539.494161,539.494161,1027.150075,1984.034478,1068.378011,983.615209,0.008854,0.0,0.0,0.045952,0.091866,0.744862,0.108467,43655.169318,18795.849304,2587083.699387,-37642.985785,-1491940.517436,0.0,0.0,-1053410.557752,-4089.638415,0.0,0.024182,0.0,0.051742,8.7e-05,0.0,1.426676,0.438307,0.141836,0.0,0.051742,0.116176,0.0,0.206307,0.0,0.0,1.940994,1.983422,780.439303,780.439303,298.151956,0.0,180.0
520.653762,560.244847,560.244847,1038.342307,1997.031923,1072.653587,989.215421,0.00883,0.0,0.0,0.048491,0.096946,0.742879,0.102854,60581.601567,27138.060792,2814554.8859,-27387.223583,-1588371.292092,0.0,0.0,-1193742.039025,-5054.331201,0.0,0.025183,0.0,0.056291,9.1e-05,0.0,1.48572,0.456446,0.154307,0.0,0.056291,0.126391,0.0,0.224446,0.0,0.0,2.023731,2.052514,822.037309,822.037309,298.169221,0.0,240.0
520.640511,576.476931,576.476931,1046.757956,2007.352751,1076.071363,993.487735,0.008815,0.0,0.0,0.050081,0.100128,0.741638,0.099338,76914.828249,35470.188609,2980120.945953,-21389.031164,-1644698.111632,0.0,0.0,-1308115.914763,-5917.888393,0.0,0.025912,0.0,0.059602,9.3e-05,0.0,1.528696,0.469649,0.163384,0.0,0.059602,0.133826,0.0,0.237649,0.0,0.0,2.083952,2.105294,854.560431,854.560431,298.242617,0.0,300.0
520.63073,589.810681,589.810681,1053.451278,2015.917473,1078.918673,996.906291,0.008805,0.0,0.0,0.051161,0.102288,0.740795,0.096951,92628.581093,43695.075154,3102366.603538,-17472.887971,-1674959.219701,0.0,0.0,-1403229.742115,-6704.75375,0.0,0.02645,0.0,0.062047,9.5e-05,0.0,1.560427,0.479398,0.170086,0.0,0.062047,0.139316,0.0,0.247398,0.0,0.0,2.128417,2.145145,881.267648,881.267648,298.443917,0.0,360.0
520.623105,601.125982,601.125982,1058.981977,2023.238761,1081.359039,999.736755,0.008798,0.0,0.0,0.051921,0.103807,0.740202,0.095272,107750.269851,51771.891521,3193230.087889,-14725.913872,-1687534.605915,0.0,0.0,-1483538.675669,-7430.892432,0.0,0.026849,0.0,0.063865,9.6e-05,0.0,1.584012,0.486644,0.175067,0.0,0.063865,0.143396,0.0,0.254644,0.0,0.0,2.161466,2.175089,903.926825,903.926825,298.863744,0.0,420.0
520.616929,610.954351,610.954351,1063.678531,2029.63316,1083.486362,1002.14015,0.008793,0.0,0.0,0.052465,0.104897,0.739777,0.094068,122322.074235,59684.769183,3260917.67634,-12695.281623,-1687905.646852,0.0,0.0,-1552209.334346,-8107.413519,0.0,0.027147,0.0,0.065218,9.8e-05,0.0,1.601582,0.492041,0.178778,0.0,0.065218,0.146436,0.0,0.260041,0.0,0.0,2.186086,2.197494,923.605108,923.605108,299.594165,0.0,480.0
520.611785,619.641578,619.641578,1067.750804,2035.309837,1085.368466,1004.2222,0.008789,0.0,0.0,0.052862,0.10569,0.739467,0.093191,136388.052882,67429.738673,3311895.572781,-11138.409684,-1680256.592708,0.0,0.0,-1611758.153186,-8742.417203,0.0,0.027371,0.0,0.066238,9.8e-05,0.0,1.614814,0.496107,0.181573,0.0,0.066238,0.148725,0.0,0.264107,0.0,0.0,2.204628,2.214389,940.996387,940.996387,300.715,0.0,540.0
