VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,208108439.0,28902.0,5080630.0,[kJ]
Heat rate - burner,174017170.0,24167.0,5080630.0,[kJ]
Heat rate - specimen comb.,34091269.0,4735.0,5582.0,[kJ]
Heat rate - vent.,-91391605.0,-12692.0,1168852.0,[kJ]
Heat rate - lining,-6606924.0,-918.0,1468.0,[kJ]
Heat rate - specimen,-1390925.0,-193.0,345.0,[kJ]
Heat rate - intern. gas,-108551140.0,-15076.0,4747196.0,[kJ]
Heat rate - window,-167844.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285119.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,3746.0,1.0,109.0,[kg]
Mass rate - specimen,1794.0,0.0,0.0,[kg]
Mass rate - ventilation in,69546.0,10.0,1821.0,[kg]
Mass rate - ventilation ou,266850.0,37.0,61977.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,464.0,779.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,111.7,-,-,[min]
,,,,
Length - charring,92.0,0.0,0.0,[mm]
Content - O2,718874.0,100.0,210.0,[‰ vol.]
