c_Ar,c_C3H8,c_CH4,c_CO2,c_H2O,c_N2,c_O2,content_vol_Ar,content_vol_C3H8,content_vol_CH4,content_vol_CO2,content_vol_H2O,content_vol_N2,content_vol_O2,hf_furnace,hf_furnace_average,hr_burner_combustion,hr_gas_enclosure,hr_lining,hr_specimen,hr_specimen_combustion,hr_ventilation,hr_windows,length_specimen_charring,mass_Ar,mass_C3H8,mass_CH4,mass_CO2,mass_H2O,mass_N2,mass_O2,mass_co2_burner_produced,mass_co2_specimen_produced,mass_fuel_in,mass_h2o_burner_produced,mass_h2o_specimen_produced,mass_o2_burner_required,mass_o2_specimen_required,mass_specimen_in,mass_ventilation_in,mass_ventilation_ou,temperature_gas,temperature_gas_target,temperature_lining,temperature_specimen,time
521.360072,302.984955,302.984955,848.970798,1864.849945,1039.992921,918.611148,0.00928,0.0,0.0,3e-05,0.0,0.780711,0.209979,0.000484,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,298.15,298.15,298.15,298.15,0.0
520.769658,463.30972,463.30972,981.01776,1938.308088,1054.184808,961.581051,0.009159,0.0,0.0,0.019104,0.025686,0.770586,0.175464,9660.174718,3503.561844,55456813.699838,-31419999.469081,-553369.992285,-17719.033463,0.0,-23464100.136319,-1625.068689,6e-06,0.251838,1.193903,0.0,0.000905,0.0,14.857536,4.564564,3.575177,0.0,1.193903,1.971316,0.0,4.332564,0.0,0.0,20.868746,67.772648,627.363666,627.363666,298.15,298.150142,60.0
520.706423,510.695652,510.695652,1010.698857,1966.355732,1062.672179,975.525009,0.009118,0.0,0.0,0.025598,0.034432,0.767139,0.163713,26348.783411,10684.717674,29123409.382824,-14798789.265482,-719543.358415,-24124.370818,0.0,-13578024.95226,-2927.43585,8e-06,0.138332,0.626984,0.0,0.000497,0.0,8.161087,2.507266,1.877521,0.0,0.626984,1.035246,0.0,2.275266,0.0,0.0,11.434167,30.10749,722.654878,722.654878,298.150049,298.159272,120.0
520.673297,539.494161,539.494161,1027.150075,1984.034478,1068.378011,983.615209,0.009093,0.0,0.0,0.029692,0.039945,0.764966,0.156305,43655.169318,18795.849304,20173288.153399,-9462116.701871,-808535.506223,-29012.108542,0.0,-9869610.191049,-4013.645714,9e-06,0.099754,0.434301,0.0,0.000358,0.0,5.885117,1.808038,1.300527,0.0,0.434301,0.717097,0.0,1.576038,0.0,0.0,8.227569,19.108506,780.439303,780.439303,298.151956,298.231693,180.0
520.653762,560.244847,560.244847,1038.342307,1997.031923,1072.653587,989.215421,0.009074,0.0,0.0,0.032715,0.044016,0.763361,0.150834,60581.601567,27138.060792,15716118.177567,-6882212.499778,-860794.764746,-29994.583264,0.0,-7938155.916973,-4960.412805,1e-05,0.080542,0.338345,0.0,0.000289,0.0,4.751682,1.459822,1.013183,0.0,0.338345,0.558659,0.0,1.227822,0.0,0.0,6.63068,14.059418,822.037309,822.037309,298.169221,298.464423,240.0
520.640511,576.476931,576.476931,1046.757956,2007.352751,1076.071363,993.487735,0.009058,0.0,0.0,0.035125,0.047261,0.762082,0.146474,76914.828249,35470.188609,13055822.035141,-5375833.54248,-891320.266949,-25422.061112,0.0,-6757438.24102,-5807.923581,1.1e-05,0.069075,0.281073,0.0,0.000248,0.0,4.075182,1.251986,0.84168,0.0,0.281073,0.464094,0.0,1.019986,0.0,0.0,5.677564,11.210212,854.560431,854.560431,298.242617,298.952064,300.0
520.63073,589.810681,589.810681,1053.451278,2015.917473,1078.918673,996.906291,0.009046,0.0,0.0,0.037133,0.049966,0.761016,0.142839,92628.581093,43695.075154,11287941.550383,-4393140.572472,-907719.835193,-17769.79813,0.0,-5962731.176997,-6580.16759,1.1e-05,0.061455,0.243013,0.0,0.000221,0.0,3.625619,1.11387,0.727708,0.0,0.243013,0.401251,0.0,0.88187,0.0,0.0,5.044178,9.39735,881.267648,881.267648,298.443917,299.799242,360.0
520.623105,601.125982,601.125982,1058.981977,2023.238761,1081.359039,999.736755,0.009035,0.0,0.0,0.038858,0.052288,0.7601,0.139719,107750.269851,51771.891521,10038271.494131,-3704235.000901,-914534.883206,-17075.409534,0.0,-5395133.387156,-7292.813334,1.2e-05,0.056068,0.216109,0.0,0.000201,0.0,3.307835,1.01624,0.647145,0.0,0.216109,0.356829,0.0,0.78424,0.0,0.0,4.596454,8.153641,903.926825,903.926825,298.863744,301.062615,420.0
520.616929,610.954351,610.954351,1063.678531,2029.63316,1083.486362,1002.14015,0.009025,0.0,0.0,0.04037,0.054324,0.759298,0.136983,122322.074235,59684.769183,9105653.828628,-3195117.598954,-914735.963455,-17859.766803,0.0,-4969983.735952,-7956.763464,1.2e-05,0.052049,0.196031,0.0,0.000187,0.0,3.070675,0.943379,0.587021,0.0,0.196031,0.323678,0.0,0.711379,0.0,0.0,4.262321,7.250434,923.605108,923.605108,299.594165,302.709829,480.0
520.611785,619.641578,619.641578,1067.750804,2035.309837,1085.368466,1004.2222,0.009016,0.0,0.0,0.041775,0.056169,0.758518,0.134522,136388.052882,67429.738673,7837222.680667,-2804991.99492,-910590.669597,-18083.675402,425590.388025,-4520566.761115,-8579.967658,1.2e-05,0.046581,0.168724,0.0,0.000167,0.0,2.748119,0.844283,0.505248,0.04307,0.168724,0.278589,0.017635,0.612283,0.031316,0.022399,3.807875,6.396925,940.996387,940.996387,300.715,304.676839,540.0
520.607406,627.425299,627.425299,1071.340258,2040.414923,1087.055445,1006.056688,0.009007,0.0,0.0,0.043072,0.057849,0.757782,0.13229,149989.757579,75008.71222,7244101.036752,-2496705.409282,-903759.739441,-18115.632739,434905.279803,-4251257.100553,-9168.43454,1.3e-05,0.044025,0.155955,0.0,0.000158,0.0,2.597292,0.797945,0.467011,0.044013,0.155955,0.257505,0.018021,0.565945,0.032002,0.02289,3.595375,5.857479,956.577332,956.577332,302.286441,306.980408,600.0
520.603615,634.475872,634.475872,1074.537405,2045.058047,1088.579383,1007.694851,0.008999,0.0,0.0,0.04426,0.059383,0.757102,0.130256,163164.914215,82426.510689,6757725.960266,-2247126.02528,-894735.296193,-17968.5761,443051.771726,-4031220.997559,-9726.836859,1.3e-05,0.041928,0.145484,0.0,0.000151,0.0,2.473609,0.759947,0.435656,0.044837,0.145484,0.240216,0.018359,0.527947,0.032601,0.023319,3.421119,5.424269,970.689552,970.689552,304.346977,309.668399,660.0
520.600286,640.919595,640.919595,1077.415367,2049.317122,1089.968059,1009.173662,0.008992,0.0,0.0,0.045358,0.060792,0.75647,0.128388,175947.257483,89689.322311,6351653.690949,-2041336.443184,-884257.920331,-17701.180116,450251.14181,-3848350.395554,-10258.893574,1.3e-05,0.040178,0.136742,0.0,0.000144,0.0,2.370347,0.728223,0.409477,0.045566,0.136742,0.225781,0.018657,0.496223,0.033131,0.023697,3.275634,5.069207,983.586248,983.586248,306.914672,312.611327,720.0
