time,hr_burner_combustion
0,-1
0.5,1940724.015664
1,2106728.710982
1.5,1692437.05898
2,1630461.243871
2.5,1578657.678
3,1532794.990386
3.5,1492207.886299
4,1456324.02463
4.5,1424568.835172
5,1396471.747411
5.5,1371707.358094
6,1349919.737587
6.5,1330681.965391
7,1313715.304187
7.5,1298783.596439
8,1285716.083675
8.5,1274287.447602
9,1264320.376216
9.5,1255669.624833
10,1248207.018816
10.5,1241818.811276
11,1236403.819153
11.5,1231871.837063
12,1228142.272436
12.5,1225142.968845
13,1222809.189798
13.5,1221094.678322
14,1219971.735461
14.5,1219358.120629
15,1219206.54194
15.5,1219478.265583
16,1220138.391161
16.5,1221155.225195
17,1222499.925805
17.5,1224146.185181
18,1226069.99961
18.5,1228249.428889
19,1230664.391002
19.5,1233296.480892
20,1236128.809408
20.5,1239145.85987
21,1242333.360094
21.5,1245679.114257
22,1249184.532977
22.5,1252829.264762
23,1256597.300471
23.5,1260478.712662
24,1264464.687455
24.5,1268547.090233
25,1272718.382531
25.5,1276971.570757
26,1281300.161607
26.5,1285698.121756
27,1290159.841251
27.5,1294680.100213
28,1299254.03851
28.5,1303877.128108
29,1308545.147825
29.5,1313254.160265
30,1318000.490712
30.5,1322780.7078
31,1327591.605792
31.5,1332430.188319
32,1337293.653436
32.5,1342179.379889
33,1347085.233691
33.5,1352010.986377
34,1356952.738867
34.5,1361907.822616
35,1366874.290249
35.5,1371850.369195
36,1376834.402435
36.5,1381824.836316
37,1386820.213376
37.5,1391819.166078
38,1396820.411051
38.5,1401822.74373
39,1406825.033387
39.5,1411826.218506
40,1416825.302481
40.5,1421821.349609
41,1426813.48136
41.5,1431800.872897
42,1436782.74983
42.5,1441758.385189
43,1446727.096593
43.5,1451688.243611
44,1456641.225287
44.5,1461585.477828
45,1466520.472447
45.5,1471445.713327
46,1476360.735735
46.5,1481265.104233
47,1486158.411013
47.5,1491040.274335
48,1495910.337052
48.5,1500768.265235
49,1505613.975446
49.5,1510448.155679
50,1515269.620163
50.5,1520077.840371
51,1524872.549488
51.5,1529653.525362
52,1534420.564678
52.5,1539173.479228
53,1543912.094768
53.5,1548636.250239
54,1553345.797042
54.5,1558040.598376
55,1562720.528605
55.5,1567385.472659
56,1572035.325475
56.5,1576669.99146
57,1581289.383993
57.5,1585893.424947
58,1590482.044239
58.5,1595055.179405
59,1599612.775199
59.5,1604154.78321
60,1608681.161502
60.5,1613191.874273
61,1617686.891529
61.5,1622166.188779
62,1626629.746748
62.5,1631077.551093
63,1635509.592149
63.5,1639925.864677
64,1644326.367634
64.5,1648711.103941
65,1653080.080282
65.5,1657433.306893
66,1661770.797379
66.5,1666092.568528
67,1670398.64014
67.5,1674689.034865
68,1678963.778044
68.5,1683222.897566
69,1687466.423725
69.5,1691694.389083
70,1695906.828352
70.5,1700103.778264
71,1704285.277462
71.5,1708451.802084
72,1712603.478336
72.5,1716739.899319
73,1720861.049244
73.5,1724966.966627
74,1729057.698487
74.5,1733133.294065
75,1737193.803896
75.5,1741239.279623
76,1745269.773911
76.5,1749285.340382
77,1753286.033543
77.5,1757271.908735
78,1761243.022069
78.5,1765199.430375
79,1769141.191148
79.5,1773068.362498
80,1776981.003106
80.5,1780879.172176
81,1784762.929392
81.5,1788632.334878
82,1792487.449161
82.5,1796328.333131
83,1800155.048005
83.5,1803967.655298
84,1807766.216786
84.5,1811550.794479
85,1815321.450589
85.5,1819078.247505
86,1822821.247764
86.5,1826550.514029
87,1830266.109063
87.5,1833968.095707
88,1837656.536855
88.5,1841331.495442
89,1844993.034414
89.5,1848641.216717
90,1852276.105275
90.5,1855897.762975
91,1859506.252652
91.5,1863101.637069
92,1866683.97891
92.5,1870253.340758
93,1873809.78509
93.5,1877353.374258
94,1880884.170481
94.5,1884402.235831
95,1887907.632227
95.5,1891400.421421
96,1894880.664988
96.5,1898348.42432
97,1901803.760616
97.5,1905246.734875
98,1908677.407886
98.5,1912095.840223
99,1915502.092236
99.5,1918896.22405
100,1922278.295551
100.5,1925648.366385
101,1929006.495955
101.5,1932352.743411
102,1935687.167647
102.5,1939009.734064
103,1942320.376508
103.5,1945619.327358
104,1948906.678666
104.5,1952182.493344
105,1955446.829511
105.5,1958699.744299
106,1961941.294446
106.5,1965171.536386
107,1968390.526263
107.5,1971598.319933
108,1974794.972956
108.5,1977980.540603
109,1981155.077847
109.5,1984318.639366
110,1987471.27954
110.5,1990613.052451
111,1993744.011882
111.5,1996864.211313
112,1999973.703927
112.5,2003072.542602
113,2006160.779916
113.5,2009238.468144
114,2012305.659257
114.5,2015362.404926
115,2018408.756518
115.5,2021444.765096
116,2024470.481424
116.5,2027485.95596
117,2030491.238862
117.5,2033486.379987
118,2036471.428889
118.5,2039446.434823
119,2042411.446744
119.5,2045366.513308
120,2048311.68287
120.5,2051247.003491
121,2054172.522932
121.5,2057088.288661
122,2059994.347848
122.5,2062890.74737
123,2065777.533813
123.5,2068654.753468
124,2071522.452337
124.5,2074380.676131
125,2077229.470274
125.5,2080068.879902
126,2082898.949865
126.5,2085719.724728
127,2088531.248774
127.5,2091333.566002
128,2094126.720131
128.5,2096910.754601
129,2099685.712575
129.5,2102451.636937
130,2105208.570298
130.5,2107956.554995
131,2110695.633093
131.5,2113425.846385
132,2116147.236399
132.5,2118859.84439
133,2121563.71135
133.5,2124258.878008
134,2126945.384828
134.5,2129623.272012
135,2132292.579504
135.5,2134953.34699
136,2137605.613955
136.5,2140249.419689
137,2142884.802983
137.5,2145511.802474
138,2148130.456575
138.5,2150740.803455
139,2153342.881037
139.5,2155936.727
140,2158522.378779
140.5,2161099.873566
141,2163669.248315
141.5,2166230.539738
142,2168783.784313
142.5,2171329.01828
143,2173866.277648
143.5,2176395.598191
144,2178917.015454
144.5,2181430.564753
145,2183936.281176
145.5,2186434.199586
146,2188924.317305
146.5,2191406.652699
147,2193881.282457
147.5,2196348.248221
148,2198807.585117
148.5,2201259.326932
149,2203703.507046
149.5,2206140.158585
150,2208569.314462
150.5,2210991.007375
151,2213405.269816
151.5,2215812.13407
152,2218211.632215
152.5,2220603.796126
153,2222988.657477
153.5,2225366.24774
154,2227736.598188
154.5,2230099.739896
155,2232455.703743
155.5,2234804.520413
156,2237146.220398
156.5,2239480.833997
157,2241808.391318
157.5,2244128.922282
158,2246442.45662
158.5,2248749.02388
159,2251048.653423
159.5,2253341.374428
160,2255627.215892
160.5,2257906.206631
161,2260178.375282
161.5,2262443.750306
162,2264702.359986
162.5,2266954.23243
163,2269199.395574
163.5,2271437.877181
164,2273669.704842
164.5,2275894.905981
165,2278113.507851
165.5,2280325.53754
166,2282531.02197
166.5,2284729.987898
167,2286922.461918
167.5,2289108.470463
168,2291288.039805
168.5,2293461.196057
169,2295627.965174
169.5,2297788.372953
170,2299942.445036
170.5,2302090.206912
171,2304231.683916
171.5,2306366.90123
172,2308495.883885
172.5,2310618.656766
173,2312735.244604
173.5,2314845.671988
174,2316949.963358
174.5,2319048.143008
175,2321140.235091
175.5,2323226.263616
176,2325306.252449
176.5,2327380.225318
177,2329448.20581
177.5,2331510.217373
178,2333566.283319
178.5,2335616.426824
179,2337660.670928
179.5,2339699.038536
180,2341731.552423
180.5,2343758.235228
181,2345779.109463
181.5,2347794.197507
182,2349803.521612
182.5,2351807.103899
183,2353804.966366
183.5,2355797.130883
184,2357783.619195
184.5,2359764.452922
185,2361739.653563
185.5,2363709.242493
186,2365673.240968
186.5,2367631.67012
187,2369584.550965
187.5,2371531.904401
188,2373473.751204
188.5,2375410.112038
189,2377341.00745
189.5,2379266.457871
190,2381186.483618
190.5,2383101.104897
191,2385010.3418
191.5,2386914.214308
192,2388812.742292
192.5,2390705.945512
193,2392593.84362
193.5,2394476.45616
194,2396353.80257
194.5,2398225.902179
195,2400092.774212
195.5,2401954.43779
196,2403810.911928
196.5,2405662.215538
197,2407508.367433
197.5,2409349.386319
198,2411185.290805
198.5,2413016.099399
199,2414841.830509
199.5,2416662.502444
200,2418478.133416
200.5,2420288.74154
201,2422094.344834
201.5,2423894.96122
202,2425690.608526
202.5,2427481.304484
203,2429267.066733
203.5,2431047.912822
204,2432823.860203
204.5,2434594.926239
205,2436361.128202
205.5,2438122.483274
206,2439879.008547
206.5,2441630.719502
207,2443377.629898
