c_Ar,c_C3H8,c_CH4,c_CO2,c_H2O,c_N2,c_O2,content_vol_Ar,content_vol_C3H8,content_vol_CH4,content_vol_CO2,content_vol_H2O,content_vol_N2,content_vol_O2,hf_furnace,hf_furnace_average,hr_burner_combustion,hr_gas_enclosure,hr_lining,hr_specimen,hr_specimen_combustion,hr_ventilation,hr_windows,length_specimen_charring,mass_Ar,mass_C3H8,mass_CH4,mass_CO2,mass_H2O,mass_N2,mass_O2,mass_co2_burner_produced,mass_co2_specimen_produced,mass_fuel_in,mass_h2o_burner_produced,mass_h2o_specimen_produced,mass_o2_burner_required,mass_o2_specimen_required,mass_specimen_in,mass_ventilation_in,mass_ventilation_ou,temperature_gas,temperature_gas_target,temperature_lining,temperature_specimen,time
521.360072,302.984955,302.984955,848.970798,1864.849945,1039.992921,918.611148,0.00928,0.0,0.0,3e-05,0.0,0.780711,0.209979,0.000484,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,298.15,298.15,298.15,298.15,0.0
520.841123,419.714602,419.714602,950.536308,1914.13169,1047.768529,948.391278,0.009156,0.0,0.0,0.019568,0.026311,0.77034,0.174624,2842.168221,918.204365,1318000.490712,-208380.856961,-648128.046615,0.0,0.0,-460629.809138,-861.777998,0.0,0.018481,0.028375,0.0,6.6e-05,0.0,1.090315,0.334969,0.084969,0.0,0.028375,0.046851,0.0,0.102969,0.0,0.0,1.472206,1.843392,539.294651,539.294651,298.15,0.0,30.0
520.769658,463.30972,463.30972,981.01776,1938.308088,1054.184808,961.581051,0.00907,0.0,0.0,0.033258,0.044747,0.763073,0.149852,9660.174718,3503.561844,1608681.161502,-102001.524707,-905813.975467,0.0,0.0,-599213.611918,-1652.04941,0.0,0.019734,0.034633,0.0,7.1e-05,0.0,1.164233,0.357678,0.103708,0.0,0.034633,0.057184,0.0,0.125678,0.0,0.0,1.576349,1.72876,627.363666,627.363666,298.15,0.0,60.0
520.731963,490.68843,490.68843,998.584328,1954.324828,1058.920509,969.6944,0.009016,0.0,0.0,0.041827,0.056287,0.758524,0.134346,17785.760517,6893.97183,1852276.105275,-66082.276177,-1065799.12068,0.0,0.0,-718045.731963,-2348.976454,0.0,0.020784,0.039877,0.0,7.5e-05,0.0,1.226178,0.376709,0.119412,0.0,0.039877,0.065843,0.0,0.144709,0.0,0.0,1.663623,1.752744,682.460457,682.460457,298.150003,0.0,90.0
520.706423,510.695652,510.695652,1010.698857,1966.355732,1062.672179,975.525009,0.008984,0.0,0.0,0.046937,0.063168,0.755812,0.1251,26348.783411,10684.717674,2048311.68287,-48328.73716,-1177823.949786,0.0,0.0,-819182.956387,-2976.039537,0.0,0.021629,0.044097,0.0,7.8e-05,0.0,1.276029,0.392024,0.13205,0.0,0.044097,0.072811,0.0,0.160024,0.0,0.0,1.733857,1.794666,722.654878,722.654878,298.150049,0.0,120.0
520.687372,526.47028,526.47028,1019.850064,1975.987008,1065.759921,980.004214,0.008963,0.0,0.0,0.050162,0.067511,0.7541,0.119264,35019.988263,14685.498135,2208569.314462,-37834.961336,-1260624.255772,0.0,0.0,-906560.613961,-3549.483394,0.0,0.02232,0.047547,0.0,8e-05,0.0,1.316782,0.404544,0.142382,0.0,0.047547,0.078508,0.0,0.172544,0.0,0.0,1.791273,1.836568,754.315657,754.315657,298.150397,0.0,150.0
520.673297,539.494161,539.494161,1027.150075,1984.034478,1068.378011,983.615209,0.008949,0.0,0.0,0.052392,0.070515,0.752916,0.115228,43655.169318,18795.849304,2341731.552423,-30946.173754,-1323495.620306,0.0,0.0,-983209.474817,-4080.283546,0.0,0.022894,0.050414,0.0,8.2e-05,0.0,1.350644,0.414948,0.150966,0.0,0.050414,0.083241,0.0,0.182948,0.0,0.0,1.838982,1.874675,780.439303,780.439303,298.151956,0.0,180.0
520.662456,550.585677,550.585677,1033.196722,1990.953917,1070.648952,986.629766,0.008939,0.0,0.0,0.054055,0.072754,0.752033,0.112219,52186.483011,22958.286858,2453759.303228,-26099.372898,-1371818.661164,0.0,0.0,-1051265.10795,-4576.161215,0.0,0.023377,0.052826,0.0,8.4e-05,0.0,1.379132,0.4237,0.158188,0.0,0.052826,0.087223,0.0,0.1917,0.0,0.0,1.879119,1.908365,802.677309,802.677309,298.156897,0.0,210.0
520.653762,560.244847,560.244847,1038.342307,1997.031923,1072.653587,989.215421,0.008931,0.0,0.0,0.055356,0.074507,0.751342,0.109864,60581.601567,27138.060792,2548848.137952,-22514.24279,-1409039.049436,0.0,0.0,-1112252.076085,-5042.76964,0.0,0.023786,0.054873,0.0,8.5e-05,0.0,1.403313,0.431129,0.164319,0.0,0.054873,0.090604,0.0,0.199129,0.0,0.0,1.913187,1.937843,822.037309,822.037309,298.169221,0.0,240.0
520.646581,568.799659,568.799659,1042.811664,2002.455748,1074.447717,991.477996,0.008924,0.0,0.0,0.056405,0.075918,0.750786,0.107967,68826.057679,31313.366131,2630073.861018,-19761.017939,-1437527.874912,0.0,0.0,-1167300.578976,-5484.389191,0.0,0.024137,0.056622,0.0,8.7e-05,0.0,1.423968,0.437475,0.169555,0.0,0.056622,0.093491,0.0,0.205475,0.0,0.0,1.942288,1.963533,839.179595,839.179595,298.195057,0.0,270.0
