Timber Ratio,Furnace Area,Test Time,Fuel Consumption
0.0,130.0,2.0,1.84767442792e+11,
0.0,130.0,1.75,1.78548887612e+11,
0.0,130.0,1.5,1.71934261043e+11,
0.0,130.0,1.25,1.64749583178e+11,
0.0,130.0,1.0,1.56708554398e+11,
0.0,130.0,0.75,1.47289082459e+11,
0.0,130.0,0.5,1.35348674203e+11,
0.0,130.0,0.25,1.17298185168e+11,
0.0,70.0,2.0,43633400427.4,
0.0,70.0,1.75,40582866557.8,
0.0,70.0,1.5,37522966839.0,
0.0,70.0,1.25,34425640973.6,
0.0,70.0,1.0,31245157699.9,
0.0,70.0,0.75,27900740543.6,
0.0,70.0,0.5,24221596590.4,
0.0,70.0,0.25,19674490081.6,
0.0,80.0,2.0,56948579968.9,
0.0,80.0,1.75,53561693626.5,
0.0,80.0,1.5,50129435408.1,
0.0,80.0,1.25,46609786033.5,
0.0,80.0,1.0,42934110107.2,
0.0,80.0,0.75,38980069481.5,
0.0,80.0,0.5,34486616443.9,
0.0,80.0,0.25,28639829394.9,
0.0,110.0,2.0,1.19634886434e+11,
0.0,110.0,1.75,1.14813179541e+11,
0.0,110.0,1.5,1.09774773181e+11,
0.0,110.0,1.25,1.04412530209e+11,
0.0,110.0,1.0,98550643559.6,
0.0,110.0,0.75,91870679189.3,
0.0,110.0,0.5,83681001254.2,
0.0,110.0,0.25,71816177009.5,
0.0,100.0,2.0,94509920347.7,
0.0,100.0,1.75,90245995601.9,
0.0,100.0,1.5,85834312379.8,
0.0,100.0,1.25,81193705331.2,
0.0,100.0,1.0,76191182799.4,
0.0,100.0,0.75,70586901243.1,
0.0,100.0,0.5,63862438748.6,
0.0,100.0,0.25,54397588372.2,
0.0,90.0,2.0,73760891981.9,
0.0,90.0,1.75,69972375165.5,
0.0,90.0,1.5,66092799273.2,
0.0,90.0,1.25,62062570321.1,
0.0,90.0,1.0,57784187256.1,
0.0,90.0,0.75,53082723515.8,
0.0,90.0,0.5,47582264531.7,
0.0,90.0,0.25,40109833558.3,
0.0,120.0,2.0,1.49574576224e+11,
0.0,120.0,1.75,1.44104156369e+11,
0.0,120.0,1.5,1.38334661429e+11,
0.0,120.0,1.25,1.32128159973e+11,
0.0,120.0,1.0,1.25257985049e+11,
0.0,120.0,0.75,1.17312075951e+11,
0.0,120.0,0.5,1.0739179937e+11,
0.0,120.0,0.25,92678681864.2,
0.0,150.0,2.0,2.72665485066e+11,
0.0,150.0,1.75,2.64618686566e+11,
0.0,150.0,1.5,2.5593320139e+11,
0.0,150.0,1.25,2.46345443907e+11,
0.0,150.0,1.0,2.35420603391e+11,
0.0,150.0,0.75,2.22361828449e+11,
0.0,150.0,0.5,2.05416007211e+11,
0.0,150.0,0.25,1.7906051627e+11,
0.0,140.0,2.0,2.25651716346e+11,
0.0,140.0,1.75,2.18577167115e+11,
0.0,140.0,1.5,2.10993740596e+11,
0.0,140.0,1.25,2.02685718111e+11,
