c_Ar,c_C3H8,c_CH4,c_CO2,c_H2O,c_N2,c_O2,content_vol_Ar,content_vol_C3H8,content_vol_CH4,content_vol_CO2,content_vol_H2O,content_vol_N2,content_vol_O2,hf_furnace,hf_furnace_average,hr_burner_combustion,hr_gas_enclosure,hr_lining,hr_specimen,hr_specimen_combustion,hr_ventilation,hr_windows,length_specimen_charring,mass_Ar,mass_C3H8,mass_CH4,mass_CO2,mass_H2O,mass_N2,mass_O2,mass_co2_burner_produced,mass_co2_specimen_produced,mass_fuel_in,mass_h2o_burner_produced,mass_h2o_specimen_produced,mass_o2_burner_required,mass_o2_specimen_required,mass_specimen_in,mass_ventilation_in,mass_ventilation_ou,temperature_gas,temperature_gas_target,temperature_lining,temperature_specimen,time
521.360072,302.984955,302.984955,848.970798,1864.849945,1039.992921,918.611148,0.00928,0.0,0.0,3e-05,0.0,0.780711,0.209979,0.000484,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00256,0.0,0.0,9e-06,0.0,0.151031,0.0464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,298.15,298.15,298.15,298.15,0.0
520.841123,419.714602,419.714602,950.536308,1914.13169,1047.768529,948.391278,0.00916,0.0,0.0,0.019076,0.025648,0.770601,0.175515,2842.168221,918.204365,2410026.80342,-599929.745161,-1272687.80062,0.0,0.0,-536540.831347,-868.426285,0.0,0.012948,0.051884,0.0,4.7e-05,0.0,0.763888,0.234683,0.155369,0.0,0.051884,0.085669,0.0,0.188283,0.0,0.0,1.06345,2.132709,539.294651,539.294651,298.15,0.0,30.0
520.769658,463.30972,463.30972,981.01776,1938.308088,1054.184808,961.581051,0.009051,0.0,0.0,0.036349,0.048909,0.761432,0.144259,9660.174718,3503.561844,2625703.06619,-294395.548009,-1778689.26092,0.0,0.0,-550953.46293,-1664.794338,0.0,0.013878,0.056528,0.0,5e-05,0.0,0.818734,0.251533,0.169273,0.0,0.056528,0.093336,0.0,0.205133,0.0,0.0,1.140722,1.58277,627.363666,627.363666,298.15,0.0,60.0
520.731963,490.68843,490.68843,998.584328,1954.324828,1058.920509,969.6944,0.008948,0.0,0.0,0.052628,0.070832,0.752791,0.114802,17785.760517,6893.97183,2908167.10427,-191810.64949,-2092841.9097,0.0,0.0,-621147.44717,-2367.097907,0.0,0.015095,0.062609,0.0,5.4e-05,0.0,0.890563,0.273601,0.187483,0.0,0.062609,0.103376,0.0,0.227201,0.0,0.0,1.241921,1.502597,682.460457,682.460457,298.150003,0.0,90.0
520.706423,510.695652,510.695652,1010.698857,1966.355732,1062.672179,975.525009,0.00886,0.0,0.0,0.066521,0.089542,0.745416,0.089661,26348.783411,10684.717674,3156994.98375,-141212.66426,-2312817.93776,0.0,0.0,-699965.383189,-2998.99854,0.0,0.016168,0.067965,0.0,5.8e-05,0.0,0.953838,0.29304,0.203524,0.0,0.067965,0.112221,0.0,0.24664,0.0,0.0,1.33107,1.509557,722.654878,722.654878,298.150049,0.0,120.0
520.687372,526.47028,526.47028,1019.850064,1975.987008,1065.759921,980.004214,0.008791,0.0,0.0,0.077469,0.104286,0.739604,0.06985,35019.988263,14685.498135,3366604.33608,-111212.316736,-2475407.62952,0.0,0.0,-776407.523532,-3576.866297,0.0,0.017071,0.072478,0.0,6.1e-05,0.0,1.007141,0.309416,0.217037,0.0,0.072478,0.119672,0.0,0.263016,0.0,0.0,1.406168,1.538755,754.315657,754.315657,298.150397,0.0,150.0
520.673297,539.494161,539.494161,1027.150075,1984.034478,1068.378011,983.615209,0.00874,0.0,0.0,0.085588,0.115219,0.735294,0.055159,43655.169318,18795.849304,3541563.04347,-91387.871852,-2598864.12715,0.0,0.0,-847199.283098,-4111.761369,0.0,0.017825,0.076245,0.0,6.4e-05,0.0,1.051632,0.323085,0.228317,0.0,0.076245,0.125891,0.0,0.276685,0.0,0.0,1.468851,1.572593,780.439303,780.439303,298.151956,0.0,180.0
520.662456,550.585677,550.585677,1033.196722,1990.953917,1070.648952,986.629766,0.008704,0.0,0.0,0.091335,0.122959,0.732243,0.044759,52186.483011,22958.286858,3687179.53154,-77331.170728,-2693753.00738,0.0,0.0,-911483.88889,-4611.464544,0.0,0.018453,0.07938,0.0,6.6e-05,0.0,1.088662,0.334461,0.237704,0.0,0.07938,0.131068,0.0,0.288061,0.0,0.0,1.521021,1.605244,802.677309,802.677309,298.156897,0.0,210.0
520.653762,560.244847,560.244847,1038.342307,1997.031923,1072.653587,989.215421,0.008679,0.0,0.0,0.095264,0.12825,0.730158,0.037649,60581.601567,27138.060792,3808112.83398,-66856.649037,-2766840.31526,0.0,0.0,-969334.197018,-5081.672674,0.0,0.018974,0.081983,0.0,6.8e-05,0.0,1.119414,0.343909,0.245501,0.0,0.081983,0.135367,0.0,0.297509,0.0,0.0,1.564349,1.634674,822.037309,822.037309,298.169221,0.0,240.0
520.646581,568.799659,568.799659,1042.811664,2002.455748,1074.447717,991.477996,0.008662,0.0,0.0,0.097884,0.131777,0.728767,0.032909,68826.057679,31313.366131,3908269.90671,-58763.476408,-2822782.00892,0.0,0.0,-1021197.72223,-5526.69915,0.0,0.019406,0.084139,0.0,7e-05,0.0,1.144884,0.351734,0.251957,0.0,0.084139,0.138927,0.0,0.305334,0.0,0.0,1.600232,1.660279,839.179595,839.179595,298.195057,0.0,270.0
520.640511,576.476931,576.476931,1046.757956,2007.352751,1076.071363,993.487735,0.008651,0.0,0.0,0.099603,0.134092,0.727855,0.029799,76914.828249,35470.188609,3990886.24497,-52332.264708,-2864958.00091,0.0,0.0,-1067646.07806,-5949.901291,0.0,0.019762,0.085918,0.0,7.1e-05,0.0,1.165893,0.358188,0.257284,0.0,0.085918,0.141864,0.0,0.311788,0.0,0.0,1.629832,1.682038,854.560431,854.560431,298.242617,0.0,300.0
520.635289,583.440063,583.440063,1050.27852,2011.816442,1077.554167,995.284845,0.008644,0.0,0.0,0.100723,0.1356,0.72726,0.027772,84848.026976,39599.406631,4058640.84694,-47105.846758,-2895923.47897,0.0,0.0,-1109257.56859,-6353.95262,0.0,0.020054,0.087377,0.0,7.2e-05,0.0,1.183122,0.363481,0.261652,0.0,0.087377,0.144272,0.0,0.317081,0.0,0.0,1.654106,1.700175,868.508317,868.508317,298.321849,0.0,330.0
520.63073,589.810681,589.810681,1053.451278,2015.917473,1078.918673,996.906291,0.00864,0.0,0.0,0.101453,0.136584,0.726873,0.02645,92628.581093,43695.075154,4113768.64068,-42783.466882,-2917670.89883,0.0,0.0,-1146573.25176,-6741.023206,0.0,0.020292,0.088563,0.0,7.3e-05,0.0,1.197141,0.367788,0.265206,0.0,0.088563,0.146232,0.0,0.321388,0.0,0.0,1.673857,1.715013,881.267648,881.267648,298.443917,0.0,360.0
520.626701,595.681762,595.681762,1056.337078,2019.710521,1080.182419,998.382594,0.008637,0.0,0.0,0.101934,0.137231,0.726618,0.025581,100260.928972,47753.366127,4158134.38698,-39153.967083,-2931790.96111,0.0,0.0,-1180076.55559,-7112.903199,0.0,0.020483,0.089519,0.0,7.4e-05,0.0,1.208423,0.371254,0.268066,0.0,0.089519,0.147809,0.0,0.324854,0.0,0.0,1.689752,1.726896,893.025175,893.025175,298.620604,0.0,390.0
520.623105,601.125982,601.125982,1058.981977,2023.238761,1081.359039,999.736755,0.008635,0.0,0.0,0.102254,0.137662,0.726448,0.025002,107750.269851,51771.891521,4193303.75243,-36064.434986,-2939576.4103,0.0,0.0,-1210191.8172,-7471.089946,0.0,0.020635,0.090276,0.0,7.4e-05,0.0,1.217366,0.374002,0.270333,0.0,0.090276,0.149059,0.0,0.327602,0.0,0.0,1.702353,1.736165,903.926825,903.926825,298.863744,0.0,420.0
520.619866,606.201227,606.201227,1061.41958,2026.53688,1082.457283,1000.984458,0.008633,0.0,0.0,0.10247,0.137954,0.726333,0.024609,115102.124169,55749.258356,4220600.2982,-33403.515645,-2942091.87993,0.0,0.0,-1237288.05163,-7816.850999,0.0,0.020752,0.090863,0.0,7.5e-05,0.0,1.224308,0.376134,0.272093,0.0,0.090863,0.150029,0.0,0.329734,0.0,0.0,1.712132,1.743138,914.088793,914.088793,299.184738,0.0,450.0
520.616929,610.954351,610.954351,1063.678531,2029.63316,1083.486362,1002.14015,0.008632,0.0,0.0,0.102619,0.138154,0.726254,0.02434,122322.074235,59684.769183,4241159.45146,-31092.112304,-2940222.73968,0.0,0.0,-1261693.3288,-8151.270682,0.0,0.020841,0.091306,0.0,7.5e-05,0.0,1.229536,0.377741,0.273418,0.0,0.091306,0.15076,0.0,0.331341,0.0,0.0,1.719498,1.748109,923.605108,923.605108,299.594165,0.0,480.0
520.614247,615.423816,615.423816,1065.782501,2032.55097,1084.454481,1003.216071,0.008632,0.0,0.0,0.102722,0.138292,0.726199,0.024155,129415.612177,63578.216414,4255948.97405,-29066.833708,-2934710.48069,0.0,0.0,-1283696.37447,-8475.285181,0.0,0.020905,0.091624,0.0,7.5e-05,0.0,1.233297,0.378896,0.274372,0.0,0.091624,0.151286,0.0,0.332496,0.0,0.0,1.724797,1.751341,932.552936,932.552936,300.101513,0.0,510.0
520.611785,619.641578,619.641578,1067.750804,2035.309837,1085.368466,1004.2222,0.008631,0.0,0.0,0.102792,0.138388,0.726162,0.024027,136388.052882,67429.738673,4266773.0708,-27278.566485,-2926898.58085,0.0,0.0,-1303806.21404,-8789.709427,0.0,0.020951,0.091857,0.0,7.5e-05,0.0,1.236049,0.379742,0.275069,0.0,0.091857,0.15167,0.0,0.333342,0.0,0.0,1.728675,1.75342,940.996387,940.996387,300.715,0.0,540.0
520.609512,623.634484,623.634484,1069.599399,2037.926246,1086.234057,1005.166778,0.008631,0.0,0.0,0.102842,0.138454,0.726136,0.023938,143244.486835,71239.719062,4273920.88511,-25688.717922,-2916977.54535,0.0,0.0,-1322159.36383,-9095.258013,0.0,0.020982,0.092011,0.0,7.5e-05,0.0,1.237867,0.3803,0.27553,0.0,0.092011,0.151925,0.0,0.3339,0.0,0.0,1.731236,1.754402,948.9893,948.9893,301.441484,0.0,570.0
520.607406,627.425299,627.425299,1071.340258,2040.414923,1087.055445,1006.056688,0.008631,0.0,0.0,0.102874,0.138498,0.726118,0.023879,149989.757579,75008.71222,4277380.59951,-24264.140125,-2904942.01963,0.0,0.0,-1338781.87806,-9392.561687,0.0,0.020997,0.092086,0.0,7.5e-05,0.0,1.238747,0.38057,0.275753,0.0,0.092086,0.152048,0.0,0.33417,0.0,0.0,1.732475,1.754244,956.577332,956.577332,302.286441,0.0,600.0
520.605446,631.033499,631.033499,1072.982901,2042.788794,1087.835938,1006.897733,0.008631,0.0,0.0,0.102893,0.138523,0.726108,0.023845,156628.454386,78737.391544,4277663.10686,-22982.445374,-2891154.56336,0.0,0.0,-1353843.91763,-9682.180503,0.0,0.020998,0.092092,0.0,7.5e-05,0.0,1.238819,0.380592,0.275771,0.0,0.092092,0.152058,0.0,0.334192,0.0,0.0,1.732576,1.7531,963.799529,963.799529,303.253995,0.0,630.0
520.603615,634.475872,634.475872,1074.537405,2045.058047,1088.579383,1007.694851,0.008631,0.0,0.0,0.102901,0.138534,0.726104,0.02383,163164.914215,82426.510689,4275226.518,-21823.806503,-2875934.88062,0.0,0.0,-1367503.21643,-9964.614441,0.0,0.020988,0.092039,0.0,7.5e-05,0.0,1.238199,0.380402,0.275614,0.0,0.092039,0.151971,0.0,0.334002,0.0,0.0,1.731703,1.751113,970.689552,970.689552,304.346977,0.0,660.0
520.601899,637.766992,637.766992,1076.01241,2047.231559,1089.289121,1008.452274,0.008631,0.0,0.0,0.1029,0.138533,0.726104,0.023832,169603.22923,86076.87532,4270471.57528,-20771.58864,-2859557.75362,0.0,0.0,-1379901.92097,-10240.31205,0.0,0.020967,0.091937,0.0,7.5e-05,0.0,1.23699,0.380031,0.275308,0.0,0.091937,0.151802,0.0,0.333631,0.0,0.0,1.73,1.748405,977.276617,977.276617,305.567022,0.0,690.0
