c_Ar,c_C3H8,c_CH4,c_CO2,c_H2O,c_N2,c_O2,content_vol_Ar,content_vol_C3H8,content_vol_CH4,content_vol_CO2,content_vol_H2O,content_vol_N2,content_vol_O2,hf_furnace,hf_furnace_average,hr_burner_combustion,hr_gas_enclosure,hr_lining,hr_specimen,hr_specimen_combustion,hr_ventilation,hr_windows,length_specimen_charring,mass_Ar,mass_C3H8,mass_CH4,mass_CO2,mass_H2O,mass_N2,mass_O2,mass_co2_burner_produced,mass_co2_specimen_produced,mass_fuel_in,mass_h2o_burner_produced,mass_h2o_specimen_produced,mass_o2_burner_required,mass_o2_specimen_required,mass_specimen_in,mass_ventilation_in,mass_ventilation_ou,temperature_gas,temperature_gas_target,temperature_lining,temperature_specimen,time
521.360072,302.984955,302.984955,848.970798,1864.849945,1039.992921,918.611148,0.00928,0.0,0.0,3e-05,0.0,0.780711,0.209979,0.000484,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00256,0.0,0.0,9e-06,0.0,0.151031,0.0464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,298.15,298.15,298.15,298.15,0.0
520.841123,419.714602,419.714602,950.536308,1914.13169,1047.768529,948.391278,0.009136,0.0,0.0,0.022792,0.030652,0.768629,0.168791,2842.168221,918.204365,860497.144733,-139215.892055,-530482.108241,0.0,0.0,-189941.81259,-857.331847,0.0,0.006269,0.018525,0.0,2.3e-05,0.0,0.369851,0.113626,0.055474,0.0,0.018525,0.030588,0.0,0.067226,0.0,0.0,0.508294,0.756733,539.294651,539.294651,298.15,0.0,30.0
520.769658,463.30972,463.30972,981.01776,1938.308088,1054.184808,961.581051,0.009,0.0,0.0,0.044441,0.059807,0.757137,0.129615,9660.174718,3503.561844,1048766.69681,-68540.442461,-741350.002073,0.0,0.0,-237232.72625,-1643.526031,0.0,0.007081,0.022578,0.0,2.5e-05,0.0,0.417727,0.128335,0.067612,0.0,0.022578,0.03728,0.0,0.081935,0.0,0.0,0.575746,0.678516,627.363666,627.363666,298.15,0.0,60.0
520.731963,490.68843,490.68843,998.584328,1954.324828,1058.920509,969.6944,0.008893,0.0,0.0,0.061266,0.082466,0.748205,0.09917,17785.760517,6893.97183,1207438.73857,-44681.708132,-872267.727552,0.0,0.0,-288152.445449,-2336.857435,0.0,0.007764,0.025994,0.0,2.8e-05,0.0,0.458076,0.140731,0.077841,0.0,0.025994,0.042921,0.0,0.094331,0.0,0.0,0.632594,0.692844,682.460457,682.460457,298.15,0.0,90.0
520.706423,510.695652,510.695652,1010.698857,1966.355732,1062.672179,975.525009,0.008824,0.0,0.0,0.072264,0.097276,0.742367,0.079269,26348.783411,10684.717674,1334596.09242,-32828.236992,-963939.327546,0.0,0.0,-334867.842561,-2960.685326,0.0,0.008313,0.028732,0.0,3e-05,0.0,0.490412,0.150665,0.086038,0.0,0.028732,0.047441,0.0,0.104265,0.0,0.0,0.678151,0.719118,722.654878,722.654878,298.150001,0.0,120.0
520.687372,526.47028,526.47028,1019.850064,1975.987008,1065.759921,980.004214,0.008783,0.0,0.0,0.078796,0.106072,0.7389,0.067449,35019.988263,14685.498135,1437409.35236,-25770.439258,-1031694.70844,0.0,0.0,-376413.034036,-3531.170628,0.0,0.008756,0.030945,0.0,3.1e-05,0.0,0.516557,0.158698,0.092667,0.0,0.030945,0.051095,0.0,0.112298,0.0,0.0,0.714987,0.745323,754.315657,754.315657,298.150015,0.0,150.0
520.673297,539.494161,539.494161,1027.150075,1984.034478,1068.378011,983.615209,0.008759,0.0,0.0,0.082552,0.11113,0.736906,0.060653,43655.169318,18795.849304,1521491.53339,-21107.633004,-1083139.75121,0.0,0.0,-413184.916937,-4059.232235,0.0,0.009118,0.032755,0.0,3.3e-05,0.0,0.537938,0.165267,0.098087,0.0,0.032755,0.054084,0.0,0.118867,0.0,0.0,0.745111,0.768893,780.439303,780.439303,298.150105,0.0,180.0
520.662456,550.585677,550.585677,1033.196722,1990.953917,1070.648952,986.629766,0.008745,0.0,0.0,0.084763,0.114108,0.735732,0.056651,52186.483011,22958.286858,1590876.59688,-17812.938162,-1122677.30645,0.0,0.0,-445833.800735,-4552.551534,0.0,0.009417,0.034249,0.0,3.4e-05,0.0,0.555583,0.170687,0.10256,0.0,0.034249,0.056551,0.0,0.124287,0.0,0.0,0.76997,0.789387,802.677309,802.677309,298.15048,0.0,210.0
520.653762,560.244847,560.244847,1038.342307,1997.031923,1072.653587,989.215421,0.008736,0.0,0.0,0.086152,0.115978,0.734995,0.054138,60581.601567,27138.060792,1648474.47632,-15369.854714,-1153127.15612,0.0,0.0,-474960.71289,-5016.752598,0.0,0.009665,0.035489,0.0,3.5e-05,0.0,0.570229,0.175187,0.106273,0.0,0.035489,0.058598,0.0,0.128787,0.0,0.0,0.790606,0.806941,822.037309,822.037309,298.151662,0.0,240.0
520.646581,568.799659,568.799659,1042.811664,2002.455748,1074.447717,991.477996,0.00873,0.0,0.0,0.087095,0.117248,0.734494,0.052432,68826.057679,31313.366131,1696434.86192,-13491.342663,-1176429.89728,0.0,0.0,-501057.528263,-5456.093711,0.0,0.009872,0.036522,0.0,3.5e-05,0.0,0.582425,0.178934,0.109365,0.0,0.036522,0.060303,0.0,0.132534,0.0,0.0,0.807789,0.821846,839.179595,839.179595,298.154678,0.0,270.0
