VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,105.0,1.0,1.0,[MJ]
Heat rate - burner,105.0,1.0,1.0,[MJ]
Heat rate - specimen comb.,0.0,0.0,0.0,[MJ]
Heat rate - vent.,-23.0,-0.0,0.0,[MJ]
Heat rate - lining,-66.0,-1.0,1.0,[MJ]
Heat rate - specimen,0.0,0.0,0.0,[MJ]
Heat rate - intern. gas,-16.0,-0.0,1.0,[MJ]
Heat rate - window,-0.0,-0.0,0.0,[MJ]
,,,,
Mass rate - fuel,2.0,0.0,0.0,[kg]
Mass rate - specimen,0.0,0.0,0.0,[kg]
Mass rate - ventilation in,58.0,1.0,1.0,[kg]
Mass rate - ventilation ou,98.0,1.0,17.0,[kg]
,,,,
Temperature - furnace,-,304.0,424.0,[deg C]
Temperature - lining,-,25.0,25.0,[deg C]
Temperature - specimen,-,-272.0,25.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,0.0,-,-,[min]
,,,,
Length - charring,0.0,0.0,0.0,[mm]
Content - O2,1433.0,14.0,21.0,[% vol.]
