VARIABLE,TOT.,AVE. [/s],PEAK [/s],UNIT
Heat rate - overall,18262776.0,2536.0,2864.0,[kJ]
Heat rate - burner,7012103.0,974.0,2863.0,[kJ]
Heat rate - specimen comb.,11250673.0,1562.0,1738.0,[kJ]
Heat rate - vent.,-12102783.0,-1681.0,1996.0,[kJ]
Heat rate - lining,-5510524.0,-765.0,1224.0,[kJ]
Heat rate - specimen,-452764.0,-63.0,112.0,[kJ]
Heat rate - intern. gas,-29653.0,-4.0,1198.0,[kJ]
Heat rate - window,-167052.0,-23.0,35.0,[kJ]
,,,,
Heat flux - instantaneous,3891213.0,540.0,885.0,[kW/m2]
Heat flux - average,2285044.0,317.0,540.0,[kW/m2]
,,,,
Mass rate - fuel,151.0,0.0,0.0,[kg]
Mass rate - specimen,592.0,0.0,0.0,[kg]
Mass rate - ventilation in,11152.0,2.0,2.0,[kg]
Mass rate - ventilation ou,11984.0,2.0,9.0,[kg]
,,,,
Temperature - furnace,-,905.0,1054.0,[deg C]
Temperature - lining,-,282.0,486.0,[deg C]
Temperature - specimen,-,464.0,779.0,[deg C]
,,,,
Time - temperature deviation,0.0,-,-,[min]
Time - ventilation controlled,111.8,-,-,[min]
,,,,
Length - charring,93.0,0.0,0.0,[mm]
Content - O2,712242.0,99.0,210.0,[‰ vol.]
