c_Ar,c_C3H8,c_CH4,c_CO2,c_H2O,c_N2,c_O2,content_vol_Ar,content_vol_C3H8,content_vol_CH4,content_vol_CO2,content_vol_H2O,content_vol_N2,content_vol_O2,hf_furnace,hf_furnace_average,hr_burner_combustion,hr_gas_enclosure,hr_lining,hr_specimen,hr_specimen_combustion,hr_ventilation,hr_windows,length_specimen_charring,mass_Ar,mass_C3H8,mass_CH4,mass_CO2,mass_H2O,mass_N2,mass_O2,mass_co2_burner_produced,mass_co2_specimen_produced,mass_fuel_in,mass_h2o_burner_produced,mass_h2o_specimen_produced,mass_o2_burner_required,mass_o2_specimen_required,mass_specimen_in,mass_ventilation_in,mass_ventilation_ou,temperature_gas,temperature_gas_target,temperature_lining,temperature_specimen,time
521.335341,305.290238,305.290238,851.280652,1865.490853,1039.995207,919.067634,0.00928,0.0,0.0,3e-05,0.0,0.780711,0.209979,0.000484,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01536,0.0,0.0,5.5e-05,0.0,0.906185,0.2784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,298.15,298.15,298.15,298.15,0.0
521.21841,317.805228,317.805228,863.722753,1869.146933,1040.077252,921.564528,0.009271,0.0,0.0,0.00142,0.001872,0.779974,0.207463,0.84458,0.317353,1421526.603029,-987957.631606,-55822.396641,-5120.278687,0.0,-372589.190723,-37.105371,0.0,0.021487,0.030603,0.0,7.7e-05,0.0,1.267672,0.389457,0.091643,0.0,0.030603,0.050531,0.0,0.111057,0.0,0.0,1.709296,4.735306,325.46753,325.46753,298.15,298.15,1.5
521.14174,328.525742,328.525742,874.119039,1872.772276,1040.377238,923.733487,0.009263,0.0,0.0,0.002662,0.003544,0.779314,0.205216,7.300819,2.247532,1107026.871585,-780911.90392,-103783.375568,-9509.449333,0.0,-212745.45452,-76.688245,0.0,0.020132,0.023833,0.0,7.2e-05,0.0,1.187696,0.364886,0.071368,0.0,0.023833,0.039351,0.0,0.086486,0.0,0.0,1.596619,3.824202,348.564172,348.564172,298.15,298.15,3.0
521.086723,337.902439,337.902439,883.007332,1876.203468,1040.698363,925.776372,0.009256,0.0,0.0,0.00385,0.005144,0.778684,0.203066,25.053384,7.251777,1051704.748032,-640995.369823,-145936.026278,-13358.724354,0.0,-251296.659652,-117.967925,1e-06,0.019893,0.022642,0.0,7.1e-05,0.0,1.173628,0.360564,0.067801,0.0,0.022642,0.037385,0.0,0.082164,0.0,0.0,1.576799,3.30246,368.571394,368.571394,298.15,298.15,4.5
521.048832,346.234996,346.234996,890.670497,1879.431999,1041.07624,927.734546,0.009248,0.0,0.0,0.004996,0.006687,0.778075,0.200993,58.090969,16.481875,1018366.745228,-540882.862544,-183607.035284,-16791.645318,0.0,-276924.790727,-160.411354,1e-06,0.01975,0.021924,0.0,7.1e-05,0.0,1.16515,0.35796,0.065652,0.0,0.021924,0.0362,0.0,0.07956,0.0,0.0,1.564855,2.951452,386.219014,386.219014,298.15,298.15,6.0
521.019588,353.732828,353.732828,897.372455,1882.472723,1041.498064,929.600453,0.009241,0.0,0.0,0.006107,0.008184,0.777486,0.198982,108.714446,30.742289,1000181.407777,-466145.91847,-217705.284596,-19892.826016,0.0,-296233.734589,-203.644105,1e-06,0.019671,0.021532,0.0,7.1e-05,0.0,1.160526,0.356539,0.064479,0.0,0.021532,0.035553,0.0,0.078139,0.0,0.0,1.558339,2.703724,402.005349,402.005349,298.15,298.15,7.5
520.995546,360.548052,360.548052,903.293325,1885.377226,1041.947514,931.374084,0.009235,0.0,0.0,0.007189,0.009641,0.776911,0.197024,178.002402,50.550854,992470.122188,-408412.387642,-248881.942765,-22722.86863,0.0,-312205.52619,-247.39696,1e-06,0.019638,0.021366,0.0,7.1e-05,0.0,1.158565,0.355937,0.063982,0.0,0.021366,0.035279,0.0,0.077537,0.0,0.0,1.555576,2.522384,416.285825,416.285825,298.15,298.15,9.0
520.974999,366.794651,366.794651,908.614676,1888.127138,1042.399939,933.046986,0.009228,0.0,0.0,0.008247,0.011065,0.77635,0.195111,266.226104,76.209346,992087.290334,-362553.934779,-277620.358219,-25326.741227,0.0,-326294.783485,-291.472623,1e-06,0.019636,0.021358,0.0,7.1e-05,0.0,1.158467,0.355907,0.063958,0.0,0.021358,0.035266,0.0,0.077507,0.0,0.0,1.555439,2.385792,429.322878,429.322878,298.15,298.15,10.5
520.956977,372.560249,372.560249,913.45937,1890.720937,1042.84319,934.621032,0.009221,0.0,0.0,0.009282,0.012459,0.7758,0.193238,373.14713,107.862681,996941.487355,-325328.146317,-304289.758671,-27738.782775,0.0,-339249.075335,-335.724257,2e-06,0.019657,0.021463,0.0,7.1e-05,0.0,1.159702,0.356286,0.064271,0.0,0.021463,0.035438,0.0,0.077886,0.0,0.0,1.557178,2.280546,441.315805,441.315805,298.15,298.15,12.0
520.940877,377.913655,377.913655,917.901642,1893.177791,1043.279396,936.106386,0.009215,0.0,0.0,0.010296,0.013825,0.775262,0.191402,498.217364,145.544155,1005594.65848,-294573.027408,-329178.968194,-29985.845742,0.0,-351476.775917,-380.04122,2e-06,0.019694,0.021649,0.0,7.1e-05,0.0,1.161902,0.356962,0.064828,0.0,0.021649,0.035746,0.0,0.078562,0.0,0.0,1.560279,2.197961,452.419521,452.419521,298.15,298.15,13.5
