c_Ar,c_C3H8,c_CH4,c_CO2,c_H2O,c_N2,c_O2,content_vol_Ar,content_vol_C3H8,content_vol_CH4,content_vol_CO2,content_vol_H2O,content_vol_N2,content_vol_O2,hf_furnace,hf_furnace_average,hr_burner_combustion,hr_gas_enclosure,hr_lining,hr_specimen,hr_specimen_combustion,hr_ventilation,hr_windows,length_specimen_charring,mass_Ar,mass_C3H8,mass_CH4,mass_CO2,mass_H2O,mass_N2,mass_O2,mass_co2_burner_produced,mass_co2_specimen_produced,mass_fuel_in,mass_h2o_burner_produced,mass_h2o_specimen_produced,mass_o2_burner_required,mass_o2_specimen_required,mass_specimen_in,mass_ventilation_in,mass_ventilation_ou,temperature_gas,temperature_gas_target,temperature_lining,temperature_specimen,time
521.360072,302.984955,302.984955,848.970798,1864.849945,1039.992921,918.611148,0.00928,0.0,0.0,3e-05,0.0,0.780711,0.209979,0.000484,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0,4.6e-05,0.0,0.755154,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,298.15,298.15,298.15,298.15,0.0
520.841123,419.714602,419.714602,950.536308,1914.13169,1047.768529,948.391278,0.00915,0.0,0.0,0.020578,0.027671,0.769804,0.172797,2842.168221,918.204365,1126107.91677,-139015.021156,-573935.81042,0.0,0.0,-412299.753348,-857.331847,0.0,0.017654,0.024243,0.0,6.3e-05,0.0,1.041517,0.319977,0.072598,0.0,0.024243,0.04003,0.0,0.087977,0.0,0.0,1.403455,1.651092,539.294651,539.294651,298.15,0.0,30.0
520.769658,463.30972,463.30972,981.01776,1938.308088,1054.184808,961.581051,0.009065,0.0,0.0,0.034027,0.045783,0.762665,0.14846,9660.174718,3503.561844,1448199.82878,-68039.378199,-816726.456125,0.0,0.0,-561790.468431,-1643.526031,0.0,0.019042,0.031178,0.0,6.8e-05,0.0,1.123424,0.345141,0.093362,0.0,0.031178,0.051479,0.0,0.113141,0.0,0.0,1.518853,1.620439,627.363666,627.363666,298.15,0.0,60.0
520.731963,490.68843,490.68843,998.584328,1954.324828,1058.920509,969.6944,0.009018,0.0,0.0,0.041538,0.055898,0.758677,0.134868,17785.760517,6893.97183,1699514.09784,-44046.01779,-969924.623434,0.0,0.0,-683206.599179,-2336.857435,0.0,0.020125,0.036588,0.0,7.2e-05,0.0,1.187332,0.364775,0.109564,0.0,0.036588,0.060412,0.0,0.132775,0.0,0.0,1.608892,1.668337,682.460457,682.460457,298.150003,0.0,90.0
520.706423,510.695652,510.695652,1010.698857,1966.355732,1062.672179,975.525009,0.00899,0.0,0.0,0.045889,0.061757,0.756368,0.126996,26348.783411,10684.717674,1896517.24869,-32194.098655,-1076917.16744,0.0,0.0,-784445.297263,-2960.685326,0.0,0.020975,0.040829,0.0,7.5e-05,0.0,1.237429,0.380165,0.122264,0.0,0.040829,0.067415,0.0,0.148165,0.0,0.0,1.679473,1.720139,722.654878,722.654878,298.150052,0.0,120.0
520.687372,526.47028,526.47028,1019.850064,1975.987008,1065.759921,980.004214,0.008972,0.0,0.0,0.048738,0.065594,0.754855,0.12184,35019.988263,14685.498135,2054334.40351,-25196.154415,-1154723.5631,0.0,0.0,-870883.515374,-3531.170628,0.0,0.021655,0.044227,0.0,7.8e-05,0.0,1.277561,0.392495,0.132438,0.0,0.044227,0.073025,0.0,0.160495,0.0,0.0,1.736015,1.766396,754.315657,754.315657,298.150426,0.0,150.0
520.673297,539.494161,539.494161,1027.150075,1984.034478,1068.378011,983.615209,0.008959,0.0,0.0,0.050788,0.068355,0.753767,0.11813,43655.169318,18795.849304,2182726.02579,-20605.447124,-1212113.76648,0.0,0.0,-945947.579951,-4059.232235,0.0,0.022208,0.046991,0.0,8e-05,0.0,1.31021,0.402525,0.140715,0.0,0.046991,0.077589,0.0,0.170525,0.0,0.0,1.782014,1.806024,780.439303,780.439303,298.152108,0.0,180.0
520.662456,550.585677,550.585677,1033.196722,1990.953917,1070.648952,986.629766,0.00895,0.0,0.0,0.052341,0.070446,0.752943,0.11532,52186.483011,22958.286858,2288212.11469,-17376.53183,-1254364.59197,0.0,0.0,-1011918.43935,-4552.551534,0.0,0.022663,0.049262,0.0,8.1e-05,0.0,1.337035,0.410767,0.147516,0.0,0.049262,0.081339,0.0,0.178767,0.0,0.0,1.819807,1.839534,802.677309,802.677309,298.157464,0.0,210.0
520.653762,560.244847,560.244847,1038.342307,1997.031923,1072.653587,989.215421,0.008942,0.0,0.0,0.053552,0.072077,0.7523,0.113128,60581.601567,27138.060792,2375412.77038,-14988.402716,-1284990.8692,0.0,0.0,-1070416.74586,-5016.752598,0.0,0.023039,0.051139,0.0,8.3e-05,0.0,1.359209,0.417579,0.153138,0.0,0.051139,0.084439,0.0,0.185579,0.0,0.0,1.851049,1.867726,822.037309,822.037309,298.170881,0.0,240.0
520.646581,568.799659,568.799659,1042.811664,2002.455748,1074.447717,991.477996,0.008936,0.0,0.0,0.054514,0.073371,0.75179,0.111389,68826.057679,31313.366131,2447772.81623,-13154.475611,-1306504.02311,0.0,0.0,-1122658.2238,-5456.093711,0.0,0.023351,0.052697,0.0,8.4e-05,0.0,1.37761,0.423232,0.157802,0.0,0.052697,0.087011,0.0,0.191232,0.0,0.0,1.876974,1.891382,839.179595,839.179595,298.199114,0.0,270.0
520.640511,576.476931,576.476931,1046.757956,2007.352751,1076.071363,993.487735,0.008931,0.0,0.0,0.055285,0.074411,0.75138,0.109992,76914.828249,35470.188609,2507958.5287,-11703.89394,-1320788.10758,0.0,0.0,-1169592.63788,-5873.889302,0.0,0.02361,0.053993,0.0,8.5e-05,0.0,1.392915,0.427934,0.161683,0.0,0.053993,0.08915,0.0,0.195934,0.0,0.0,1.898537,1.911202,854.560431,854.560431,298.25126,0.0,300.0
520.635289,583.440063,583.440063,1050.27852,2011.816442,1077.554167,995.284845,0.008927,0.0,0.0,0.055911,0.075253,0.751048,0.108861,84848.026976,39599.406631,2558087.57707,-10528.905518,-1329304.22319,0.0,0.0,-1211981.66963,-6272.778739,0.0,0.023826,0.055072,0.0,8.6e-05,0.0,1.405663,0.431851,0.164914,0.0,0.055072,0.090932,0.0,0.199851,0.0,0.0,1.916497,1.927784,868.508317,868.508317,298.338384,0.0,330.0
520.63073,589.810681,589.810681,1053.451278,2015.917473,1078.918673,996.906291,0.008924,0.0,0.0,0.05642,0.075939,0.750778,0.107939,92628.581093,43695.075154,2599878.92969,-9559.387572,-1333210.53993,0.0,0.0,-1250454.09782,-6654.904369,0.0,0.024006,0.055972,0.0,8.6e-05,0.0,1.41629,0.435116,0.167608,0.0,0.055972,0.092418,0.0,0.203116,0.0,0.0,1.93147,1.941646,881.267648,881.267648,298.472943,0.0,360.0
520.626701,595.681762,595.681762,1056.337078,2019.710521,1080.182419,998.382594,0.008921,0.0,0.0,0.056837,0.0765,0.750556,0.107185,100260.928972,47753.366127,2634741.82799,-8746.506586,-1333437.85352,0.0,0.0,-1285535.43441,-7022.03347,0.0,0.024157,0.056722,0.0,8.7e-05,0.0,1.425155,0.437839,0.169856,0.0,0.056722,0.093657,0.0,0.205839,0.0,0.0,1.94396,1.953222,893.025175,893.025175,298.668109,0.0,390.0
520.623105,601.125982,601.125982,1058.981977,2023.238761,1081.359039,999.736755,0.008919,0.0,0.0,0.05718,0.076962,0.750374,0.106565,107750.269851,51771.891521,2663839.45956,-8055.176157,-1330740.32534,0.0,0.0,-1317668.3138,-7375.64426,0.0,0.024282,0.057349,0.0,8.7e-05,0.0,1.432555,0.440112,0.171732,0.0,0.057349,0.094691,0.0,0.208112,0.0,0.0,1.954385,1.962885,903.926825,903.926825,298.93713,0.0,420.0
520.619866,606.201227,606.201227,1061.41958,2026.53688,1082.457283,1000.984458,0.008917,0.0,0.0,0.057462,0.077343,0.750224,0.106053,115102.124169,55749.258356,2688133.84062,-7460.039095,-1325731.59667,0.0,0.0,-1347225.21675,-7716.9881,0.0,0.024387,0.057872,0.0,8.8e-05,0.0,1.438733,0.44201,0.173298,0.0,0.057872,0.095555,0.0,0.21001,0.0,0.0,1.963089,1.970944,914.088793,914.088793,299.292754,0.0,450.0
520.616929,610.954351,610.954351,1063.678531,2029.63316,1083.486362,1002.14015,0.008916,0.0,0.0,0.057701,0.077664,0.750098,0.105621,122322.074235,59684.769183,2709201.37863,-6943.287735,-1319488.17472,0.0,0.0,-1374722.78072,-8047.135459,0.0,0.024478,0.058325,0.0,8.8e-05,0.0,1.44409,0.443656,0.174656,0.0,0.058325,0.096304,0.0,0.211656,0.0,0.0,1.970637,1.977941,923.605108,923.605108,299.74679,0.0,480.0
520.614247,615.423816,615.423816,1065.782501,2032.55097,1084.454481,1003.216071,0.008915,0.0,0.0,0.057904,0.077937,0.74999,0.105254,129415.612177,63578.216414,2727038.27354,-6490.621069,-1311900.16442,0.0,0.0,-1400280.47748,-8367.010564,0.0,0.024554,0.058709,0.0,8.8e-05,0.0,1.448626,0.44505,0.175806,0.0,0.058709,0.096938,0.0,0.21305,0.0,0.0,1.977027,1.983855,932.552936,932.552936,300.309771,0.0,510.0
520.611785,619.641578,619.641578,1067.750804,2035.309837,1085.368466,1004.2222,0.008914,0.0,0.0,0.058073,0.078165,0.7499,0.104948,136388.052882,67429.738673,2742029.09886,-6090.974363,-1303178.20969,0.0,0.0,-1424082.49687,-8677.417934,0.0,0.024619,0.059032,0.0,8.8e-05,0.0,1.452438,0.446221,0.176773,0.0,0.059032,0.097471,0.0,0.214221,0.0,0.0,1.982398,1.98881,940.996387,940.996387,300.990754,0.0,540.0
520.609512,623.634484,623.634484,1069.599399,2037.926246,1086.234057,1005.166778,0.008913,0.0,0.0,0.058215,0.078356,0.749825,0.104692,143244.486835,71239.719062,2754633.38051,-5735.687886,-1293589.27903,0.0,0.0,-1446329.35055,-8979.063035,0.0,0.024673,0.059303,0.0,8.9e-05,0.0,1.455643,0.447206,0.177585,0.0,0.059303,0.097919,0.0,0.215206,0.0,0.0,1.986914,1.99296,948.9893,948.9893,301.797204,0.0,570.0
520.607406,627.425299,627.425299,1071.340258,2040.414923,1087.055445,1006.056688,0.008912,0.0,0.0,0.058333,0.078515,0.749762,0.104478,149989.757579,75008.71222,2765239.87624,-5417.37096,-1283354.94872,0.0,0.0,-1467194.988,-9272.568555,0.0,0.024719,0.059532,0.0,8.9e-05,0.0,1.45834,0.448034,0.178269,0.0,0.059532,0.098296,0.0,0.216034,0.0,0.0,1.990714,1.996437,956.577332,956.577332,302.734965,0.0,600.0
520.605446,631.033499,631.033499,1072.982901,2042.788794,1087.835938,1006.897733,0.008911,0.0,0.0,0.058432,0.078649,0.74971,0.104298,156628.454386,78737.391544,2774175.76716,-5130.991945,-1272656.17614,0.0,0.0,-1486830.11168,-9558.487393,0.0,0.024758,0.059724,0.0,8.9e-05,0.0,1.460613,0.448732,0.178845,0.0,0.059724,0.098613,0.0,0.216732,0.0,0.0,1.993916,1.999351,963.799529,963.799529,303.808299,0.0,630.0
520.603615,634.475872,634.475872,1074.537405,2045.058047,1088.579383,1007.694851,0.008911,0.0,0.0,0.058515,0.078761,0.749665,0.104148,163164.914215,82426.510689,2781716.09942,-4872.115472,-1261639.7122,0.0,0.0,-1505366.95861,-9837.313142,0.0,0.02479,0.059886,0.0,8.9e-05,0.0,1.46253,0.449322,0.179331,0.0,0.059886,0.098881,0.0,0.217322,0.0,0.0,1.996617,2.001795,970.689552,970.689552,305.01996,0.0,660.0
